Date,Open,High,Low,Close,Adj Close,Volume,company
2023-09-27,0.224,0.249,0.211,0.22,0.22,582500,Blue Star Foods Corp Historical Price
2023-09-28,0.215,0.24,0.21,0.237,0.237,509300,Blue Star Foods Corp Historical Price
2023-09-29,0.245,0.299,0.235,0.26,0.26,2144700,Blue Star Foods Corp Historical Price
2023-10-02,0.252,0.257,0.212,0.228,0.228,505700,Blue Star Foods Corp Historical Price
2023-10-03,0.225,0.225,0.156,0.205,0.205,627500,Blue Star Foods Corp Historical Price
2023-10-04,0.209,0.21,0.176,0.194,0.194,337400,Blue Star Foods Corp Historical Price
2023-10-05,0.188,0.219,0.177,0.207,0.207,519800,Blue Star Foods Corp Historical Price
2023-10-06,0.21,0.215,0.184,0.194,0.194,269800,Blue Star Foods Corp Historical Price
2023-10-09,0.202,0.202,0.183,0.192,0.192,186800,Blue Star Foods Corp Historical Price
2023-10-10,0.201,0.204,0.178,0.198,0.198,237000,Blue Star Foods Corp Historical Price
2023-10-11,0.194,0.205,0.185,0.195,0.195,623500,Blue Star Foods Corp Historical Price
2023-10-12,0.211,0.266,0.19,0.2,0.2,3513300,Blue Star Foods Corp Historical Price
2023-10-13,0.247,0.253,0.192,0.2,0.2,15141100,Blue Star Foods Corp Historical Price
2023-10-16,0.19,0.192,0.161,0.183,0.183,4915600,Blue Star Foods Corp Historical Price
2023-10-17,0.2,0.24,0.181,0.198,0.198,8860100,Blue Star Foods Corp Historical Price
2023-10-18,0.18,0.19,0.153,0.189,0.189,2738000,Blue Star Foods Corp Historical Price
2023-10-19,0.18,0.185,0.163,0.17,0.17,1096700,Blue Star Foods Corp Historical Price
2023-10-20,0.162,0.167,0.144,0.151,0.151,1970300,Blue Star Foods Corp Historical Price
2023-10-23,0.149,0.155,0.142,0.144,0.144,902000,Blue Star Foods Corp Historical Price
2023-10-24,0.14,0.15,0.135,0.149,0.149,1303100,Blue Star Foods Corp Historical Price
2023-10-25,0.144,0.15,0.141,0.148,0.148,788200,Blue Star Foods Corp Historical Price
2023-10-26,0.146,0.149,0.135,0.143,0.143,685200,Blue Star Foods Corp Historical Price
2023-10-27,0.143,0.144,0.136,0.139,0.139,775700,Blue Star Foods Corp Historical Price
2023-10-30,0.14,0.14,0.125,0.13,0.13,621200,Blue Star Foods Corp Historical Price
2023-10-31,0.119,0.128,0.111,0.126,0.126,771500,Blue Star Foods Corp Historical Price
2023-11-01,0.122,0.132,0.12,0.128,0.128,2204500,Blue Star Foods Corp Historical Price
2023-11-02,0.145,0.15,0.125,0.132,0.132,14550300,Blue Star Foods Corp Historical Price
2023-11-03,0.12,0.127,0.099,0.113,0.113,6292600,Blue Star Foods Corp Historical Price
2023-11-06,0.114,0.114,0.104,0.107,0.107,1794500,Blue Star Foods Corp Historical Price
2023-11-07,0.107,0.115,0.102,0.114,0.114,1760400,Blue Star Foods Corp Historical Price
2023-11-08,0.117,0.13,0.108,0.125,0.125,3562800,Blue Star Foods Corp Historical Price
2023-11-09,0.128,0.157,0.12,0.128,0.128,7831600,Blue Star Foods Corp Historical Price
2023-11-10,0.125,0.154,0.12,0.145,0.145,2995400,Blue Star Foods Corp Historical Price
2023-11-13,0.16,0.208,0.141,0.163,0.163,21481900,Blue Star Foods Corp Historical Price
2023-11-14,0.16,0.165,0.135,0.145,0.145,2857100,Blue Star Foods Corp Historical Price
2023-11-15,0.14,0.149,0.122,0.124,0.124,2727200,Blue Star Foods Corp Historical Price
2023-11-16,0.124,0.125,0.111,0.117,0.117,1569100,Blue Star Foods Corp Historical Price
2023-11-17,0.114,0.139,0.114,0.138,0.138,3507400,Blue Star Foods Corp Historical Price
2023-11-20,0.17,0.188,0.155,0.168,0.168,28974500,Blue Star Foods Corp Historical Price
2023-11-21,0.158,0.159,0.14,0.154,0.154,3775600,Blue Star Foods Corp Historical Price
2023-11-22,0.149,0.184,0.146,0.178,0.178,4051200,Blue Star Foods Corp Historical Price
2023-11-24,0.178,0.178,0.16,0.17,0.17,1117500,Blue Star Foods Corp Historical Price
2023-11-27,0.177,0.177,0.156,0.16,0.16,1205800,Blue Star Foods Corp Historical Price
2023-11-28,0.155,0.161,0.151,0.16,0.16,976900,Blue Star Foods Corp Historical Price
2023-11-29,0.155,0.158,0.151,0.155,0.155,968600,Blue Star Foods Corp Historical Price
2023-11-30,0.155,0.155,0.138,0.146,0.146,2280400,Blue Star Foods Corp Historical Price
2023-12-01,0.15,0.15,0.135,0.149,0.149,750800,Blue Star Foods Corp Historical Price
2023-12-04,0.146,0.17,0.146,0.165,0.165,2763300,Blue Star Foods Corp Historical Price
2023-12-05,0.162,0.162,0.151,0.155,0.155,594100,Blue Star Foods Corp Historical Price
2023-12-06,0.151,0.154,0.143,0.143,0.143,456500,Blue Star Foods Corp Historical Price
2023-12-07,0.14,0.167,0.138,0.147,0.147,1906800,Blue Star Foods Corp Historical Price
2023-12-08,0.147,0.16,0.146,0.157,0.157,1175000,Blue Star Foods Corp Historical Price
2023-12-11,0.144,0.174,0.144,0.165,0.165,1134600,Blue Star Foods Corp Historical Price
2023-12-12,0.167,0.172,0.156,0.166,0.166,436700,Blue Star Foods Corp Historical Price
2023-12-13,0.165,0.165,0.152,0.153,0.153,528700,Blue Star Foods Corp Historical Price
2023-12-14,0.156,0.165,0.153,0.159,0.159,435500,Blue Star Foods Corp Historical Price
2023-12-15,0.164,0.165,0.152,0.152,0.152,529700,Blue Star Foods Corp Historical Price
2023-12-18,0.159,0.159,0.138,0.15,0.15,549400,Blue Star Foods Corp Historical Price
2023-12-19,0.143,0.156,0.143,0.146,0.146,719700,Blue Star Foods Corp Historical Price
2023-12-20,0.146,0.149,0.142,0.145,0.145,494200,Blue Star Foods Corp Historical Price
2023-12-21,0.147,0.148,0.14,0.146,0.146,443200,Blue Star Foods Corp Historical Price
2023-12-22,0.148,0.148,0.14,0.145,0.145,538600,Blue Star Foods Corp Historical Price
2023-12-26,0.144,0.145,0.136,0.144,0.144,621500,Blue Star Foods Corp Historical Price
2023-12-27,0.141,0.157,0.137,0.156,0.156,1555800,Blue Star Foods Corp Historical Price
2023-12-28,0.154,0.167,0.145,0.153,0.153,9009900,Blue Star Foods Corp Historical Price
2023-12-29,0.149,0.149,0.143,0.144,0.144,1157100,Blue Star Foods Corp Historical Price
2024-01-02,0.143,0.148,0.14,0.14,0.14,468200,Blue Star Foods Corp Historical Price
2024-01-03,0.141,0.145,0.14,0.141,0.141,594400,Blue Star Foods Corp Historical Price
2024-01-04,0.1468,0.1495,0.1405,0.1443,0.1443,444535,Blue Star Foods Corp Historical Price
