Date,Open,High,Low,Close,Adj Close,Volume,company
2023-09-07,2.12,2.12,1.37,1.63,1.63,1513600,Surf Air Mobility Stock Data
2023-09-08,1.73,1.79,1.62,1.68,1.68,424200,Surf Air Mobility Stock Data
2023-09-11,1.69,1.84,1.54,1.59,1.59,470700,Surf Air Mobility Stock Data
2023-09-12,1.56,1.65,1.43,1.65,1.65,454000,Surf Air Mobility Stock Data
2023-09-13,1.65,1.98,1.6,1.97,1.97,1151700,Surf Air Mobility Stock Data
2023-09-14,1.85,2.06,1.7,2.05,2.05,1279200,Surf Air Mobility Stock Data
2023-09-15,2.0,2.35,2.0,2.32,2.32,3143000,Surf Air Mobility Stock Data
2023-09-18,2.35,2.48,2.19,2.46,2.46,1267200,Surf Air Mobility Stock Data
2023-09-19,2.41,2.5,2.3,2.4,2.4,1768200,Surf Air Mobility Stock Data
2023-09-20,2.5,2.5,2.1,2.21,2.21,583800,Surf Air Mobility Stock Data
2023-09-21,2.13,2.27,2.07,2.11,2.11,400900,Surf Air Mobility Stock Data
2023-09-22,2.12,2.2,1.93,1.95,1.95,341400,Surf Air Mobility Stock Data
2023-09-25,1.97,1.97,1.75,1.77,1.77,271100,Surf Air Mobility Stock Data
2023-09-26,1.72,1.77,1.66,1.72,1.72,121100,Surf Air Mobility Stock Data
2023-09-27,1.72,1.794,1.65,1.66,1.66,166800,Surf Air Mobility Stock Data
2023-09-28,1.7,1.747,1.58,1.63,1.63,181200,Surf Air Mobility Stock Data
2023-09-29,1.68,1.68,1.6,1.63,1.63,102200,Surf Air Mobility Stock Data
2023-10-02,1.67,1.72,1.63,1.7,1.7,90200,Surf Air Mobility Stock Data
2023-10-03,1.71,1.82,1.652,1.82,1.82,136400,Surf Air Mobility Stock Data
2023-10-04,1.86,1.869,1.75,1.83,1.83,94800,Surf Air Mobility Stock Data
2023-10-05,1.8,1.82,1.41,1.45,1.45,419800,Surf Air Mobility Stock Data
2023-10-06,1.49,1.49,1.34,1.35,1.35,317700,Surf Air Mobility Stock Data
2023-10-09,1.39,1.39,1.14,1.15,1.15,384700,Surf Air Mobility Stock Data
2023-10-10,1.19,1.3,1.15,1.27,1.27,242200,Surf Air Mobility Stock Data
2023-10-11,1.32,1.33,1.26,1.26,1.26,84900,Surf Air Mobility Stock Data
2023-10-12,1.31,1.31,1.2,1.23,1.23,52300,Surf Air Mobility Stock Data
2023-10-13,1.23,1.33,1.218,1.33,1.33,87700,Surf Air Mobility Stock Data
2023-10-16,1.39,1.4,1.31,1.36,1.36,94200,Surf Air Mobility Stock Data
2023-10-17,1.34,1.435,1.34,1.36,1.36,92500,Surf Air Mobility Stock Data
2023-10-18,1.37,1.37,1.28,1.32,1.32,74300,Surf Air Mobility Stock Data
2023-10-19,1.37,1.37,1.21,1.25,1.25,44600,Surf Air Mobility Stock Data
2023-10-20,1.21,1.225,1.18,1.19,1.19,51500,Surf Air Mobility Stock Data
2023-10-23,1.17,1.35,1.17,1.23,1.23,135900,Surf Air Mobility Stock Data
2023-10-24,1.23,1.25,1.21,1.24,1.24,24400,Surf Air Mobility Stock Data
2023-10-25,1.19,1.292,1.19,1.25,1.25,36000,Surf Air Mobility Stock Data
2023-10-26,1.21,1.28,1.19,1.21,1.21,40100,Surf Air Mobility Stock Data
2023-10-27,1.3,1.3,1.2,1.23,1.23,52800,Surf Air Mobility Stock Data
2023-10-30,1.19,1.26,1.18,1.22,1.22,36100,Surf Air Mobility Stock Data
2023-10-31,1.23,1.255,1.2,1.22,1.22,35800,Surf Air Mobility Stock Data
2023-11-01,1.21,1.258,1.19,1.23,1.23,39900,Surf Air Mobility Stock Data
2023-11-02,1.2,1.31,1.2,1.31,1.31,45400,Surf Air Mobility Stock Data
2023-11-03,1.32,1.48,1.23,1.39,1.39,88800,Surf Air Mobility Stock Data
2023-11-06,1.35,1.41,1.34,1.4,1.4,48100,Surf Air Mobility Stock Data
2023-11-07,1.33,1.5,1.33,1.4,1.4,94200,Surf Air Mobility Stock Data
2023-11-08,1.33,1.376,1.28,1.34,1.34,80800,Surf Air Mobility Stock Data
2023-11-09,1.36,1.387,1.26,1.31,1.31,35700,Surf Air Mobility Stock Data
2023-11-10,1.37,1.39,1.31,1.39,1.39,62100,Surf Air Mobility Stock Data
2023-11-13,1.38,1.38,1.26,1.3,1.3,85100,Surf Air Mobility Stock Data
2023-11-14,1.33,1.39,1.2,1.24,1.24,210200,Surf Air Mobility Stock Data
2023-11-15,1.27,1.33,1.22,1.28,1.28,105100,Surf Air Mobility Stock Data
2023-11-16,1.26,1.26,0.869,1.01,1.01,1009600,Surf Air Mobility Stock Data
2023-11-17,1.07,1.07,0.86,0.88,0.88,622200,Surf Air Mobility Stock Data
2023-11-20,0.92,0.93,0.801,0.82,0.82,311700,Surf Air Mobility Stock Data
2023-11-21,0.861,0.861,0.705,0.716,0.716,318900,Surf Air Mobility Stock Data
2023-11-22,0.756,0.765,0.709,0.73,0.73,99200,Surf Air Mobility Stock Data
2023-11-24,0.76,0.768,0.73,0.733,0.733,63900,Surf Air Mobility Stock Data
2023-11-27,0.77,0.77,0.715,0.72,0.72,117300,Surf Air Mobility Stock Data
2023-11-28,0.781,0.79,0.733,0.76,0.76,110800,Surf Air Mobility Stock Data
2023-11-29,0.79,0.879,0.76,0.823,0.823,233400,Surf Air Mobility Stock Data
2023-11-30,0.849,0.852,0.8,0.84,0.84,147900,Surf Air Mobility Stock Data
2023-12-01,0.85,0.85,0.8,0.823,0.823,122200,Surf Air Mobility Stock Data
2023-12-04,0.855,0.89,0.79,0.817,0.817,188900,Surf Air Mobility Stock Data
2023-12-05,0.8,0.833,0.751,0.761,0.761,107900,Surf Air Mobility Stock Data
2023-12-06,0.738,0.808,0.681,0.686,0.686,235900,Surf Air Mobility Stock Data
2023-12-07,0.71,0.72,0.67,0.691,0.691,79300,Surf Air Mobility Stock Data
2023-12-08,0.756,0.782,0.65,0.759,0.759,268400,Surf Air Mobility Stock Data
2023-12-11,0.8,0.993,0.759,0.965,0.965,552100,Surf Air Mobility Stock Data
2023-12-12,0.95,1.02,0.833,0.89,0.89,517300,Surf Air Mobility Stock Data
2023-12-13,0.901,0.91,0.863,0.91,0.91,99900,Surf Air Mobility Stock Data
2023-12-14,0.94,1.02,0.898,0.989,0.989,285000,Surf Air Mobility Stock Data
2023-12-15,1.02,1.05,0.991,1.05,1.05,269500,Surf Air Mobility Stock Data
2023-12-18,1.05,1.09,0.99,1.0,1.0,154500,Surf Air Mobility Stock Data
2023-12-19,1.03,1.03,1.0,1.02,1.02,51800,Surf Air Mobility Stock Data
2023-12-20,1.05,1.05,1.0,1.05,1.05,174800,Surf Air Mobility Stock Data
2023-12-21,1.05,1.09,1.0,1.06,1.06,94300,Surf Air Mobility Stock Data
2023-12-22,1.07,1.25,1.04,1.24,1.24,227900,Surf Air Mobility Stock Data
2023-12-26,1.14,1.32,1.05,1.22,1.22,222200,Surf Air Mobility Stock Data
2023-12-27,1.18,1.27,1.13,1.16,1.16,168400,Surf Air Mobility Stock Data
2023-12-28,1.13,1.69,1.1,1.54,1.54,686100,Surf Air Mobility Stock Data
2023-12-29,1.6,1.64,1.37,1.55,1.55,216700,Surf Air Mobility Stock Data
2024-01-02,1.55,1.55,1.4,1.46,1.46,98300,Surf Air Mobility Stock Data
2024-01-03,1.4,1.45,1.26,1.29,1.29,138900,Surf Air Mobility Stock Data
2024-01-04,1.3,1.31,1.3,1.31,1.31,38152,Surf Air Mobility Stock Data
