company,code,market_cap
Golden Agri-Resources,E5H.SI,$2.52 B
Toyo Tire,5105.T,$2.52 B
Prospect Capital,PSEC,$2.52 B
Dialog Group,7277.KL,$2.52 B
Ryman Healthcare,RYM.NZ,$2.52 B
Türkiye Kalkınma,KLNMA.IS,$2.52 B
Telenet,TNET.BR,$2.51 B
Coca-Cola Bottlers Japan,2579.T,$2.51 B
Pennon Group,PNN.L,$2.51 B
Metro AG,B4B.F,$2.51 B
Encavis,ECV.F,$2.51 B
Netwealth,NWL.AX,$2.51 B
Mister Car Wash,MCW,$2.51 B
Kingboard Holdings,0148.HK,$2.51 B
NetLink Trust,CJLU.SI,$2.50 B
Dermapharm,DMP.F,$2.50 B
Arcos Dorados Holdings,ARCO,$2.50 B
Atul,ATUL.NS,$2.50 B
IonQ,IONQ,$2.50 B
SiTime,SITM,$2.50 B
Interroll,INRN.SW,$2.49 B
ICF International,ICFI,$2.49 B
Maruwa,5344.T,$2.49 B
Neumora Therapeutics,NMRA,$2.49 B
Grainger plc,GRI.L,$2.49 B
Kajaria Ceramics,KAJARIACER.NS,$2.49 B
Boralex,BLX.TO,$2.49 B
TransAlta,TAC,$2.48 B
Gibson Energy,GEI.TO,$2.48 B
HELLENiQ ENERGY,ELPE.AT,$2.48 B
Bata India,BATAINDIA.NS,$2.48 B
Leroy Seafood,LSG.OL,$2.48 B
Beach Energy,BPT.AX,$2.48 B
Delek Group,DLEKG.TA,$2.47 B
Newmark,NMRK,$2.47 B
Topgolf Callaway Brands,MODG,$2.46 B
TransMedics Group,TMDX,$2.46 B
ODDITY Tech,ODD,$2.46 B
Shoals Technologies,SHLS,$2.46 B
Rhythm Pharmaceuticals,RYTM,$2.45 B
Sterling Construction,STRL,$2.45 B
Eldorado Gold,EGO,$2.45 B
360 DigiTech,QFIN,$2.45 B
Safestore,SAFE.L,$2.44 B
Nippon Shinyaku,4516.T,$2.44 B
Eastern Bankshares,EBC,$2.44 B
Guoco,0053.HK,$2.44 B
Crompton Greaves Consumer Electricals,CROMPTON.NS,$2.44 B
Comstock Resources,CRK,$2.44 B
Aston Martin,AML.L,$2.44 B
Highwoods Properties,HIW,$2.43 B
Pacific Biosciences,PACB,$2.43 B
"Sumitomo Chemical
India",SUMICHEM.NS,$2.43 B
Galaxy Digital Holdings,7LX.F,$2.43 B
TAG Immobilien,TEG.F,$2.43 B
LEENO Industrial,058470.KQ,$2.43 B
First Capital REIT,FCR-UN.TO,$2.42 B
Golar LNG,GLNG,$2.42 B
Atlantica,AY,$2.42 B
Österreichische Post,POST.VI,$2.42 B
EQB (Equitable Bank),EQB.TO,$2.42 B
Gibraltar Industries,ROCK,$2.42 B
Kratos Defense & Security Solutions,KTOS,$2.42 B
IDFC,IDFC.NS,$2.42 B
Braves Group,BATRK,$2.41 B
Alamo Group,ALG,$2.41 B
Central Garden & Pet,CENT,$2.41 B
F&F Co,383220.KS,$2.41 B
Krispy Kreme,DNUT,$2.41 B
Iveco Group,IVG.MI,$2.40 B
Siam Global House,GLOBAL.BK,$2.40 B
Carabao Group,CBG.BK,$2.40 B
Orpea,ORP.PA,$2.40 B
Sydbank A/S,SYDB.CO,$2.40 B
USA Compression Partners,USAC,$2.40 B
Tricon Residential,TCN,$2.39 B
Simmons First National,SFNC,$2.39 B
NMI Holdings,NMIH,$2.39 B
Shangri-La,0069.HK,$2.39 B
SSP Group,SSPG.L,$2.39 B
N-Able,NABL,$2.39 B
MVV Energie,MVV1.F,$2.39 B
JBM Auto,JBMA.NS,$2.38 B
G-bits Network Technology,603444.SS,$2.38 B
Primo Water,PRMW,$2.38 B
Archrock,AROC,$2.38 B
Array Technologies,ARRY,$2.38 B
Kangwon Land,035250.KS,$2.38 B
Kumho Petrochemical,011780.KS,$2.37 B
Q2,QTWO,$2.37 B
PGT Innovations,PGTI,$2.37 B
Strauss Group,STRS.TA,$2.37 B
Gulfport Energy,GPOR,$2.37 B
O-I Glass,OI,$2.37 B
MYR Group,MYRG,$2.37 B
Adtalem Global Education,ATGE,$2.36 B
NuStar Energy,NS,$2.36 B
International Seaways,INSW,$2.36 B
CDSL,CDSL.NS,$2.36 B
Compañía Cervecerías Unidas,CCU,$2.36 B
Callon Petroleum,CPE,$2.36 B
Bloomin' Brands,BLMN,$2.36 B
Zhejiang Jinke Tom Culture Industry,300459.SZ,$2.36 B
LXI REIT,LXI.L,$2.36 B
Papa John's Pizza,PZZA,$2.35 B
Sacyr,SCYR.MC,$2.35 B
AvidXchange,AVDX,$2.34 B
Fletcher Building,FBU.NZ,$2.34 B
Recursion Pharmaceuticals,RXRX,$2.34 B
Mitra Keluarga,MIKA.JK,$2.34 B
National Health Investors,NHI,$2.34 B
Grafton Group,GFTU.L,$2.34 B
LiveWire Group,LVWR,$2.33 B
Crinetics Pharmaceuticals,CRNX,$2.33 B
BankUnited,BKU,$2.33 B
Solaria Energía,SLR.MC,$2.33 B
Shapir Civil and Marine Engineering,SPEN.TA,$2.33 B
Chesapeake Utilities,CPK,$2.33 B
Port of Tauranga,POT.NZ,$2.33 B
Vector Limited,VCT.NZ,$2.33 B
Schrödinger,SDGR,$2.33 B
Mahindra CIE,MAHINDCIE.NS,$2.33 B
Balfour Beatty,BBY.L,$2.32 B
Workman,7564.T,$2.32 B
ICU Medical,ICUI,$2.32 B
Seacoast Banking,SBCF,$2.32 B
LiveRamp,RAMP,$2.32 B
Buckle,BKE,$2.32 B
FLSmidth,FLS.CO,$2.32 B
Pegasus Airlines,PGSUS.IS,$2.32 B
Super Retail Group,SUL.AX,$2.31 B
RadNet,RDNT,$2.31 B
Trident,TRIDENT.NS,$2.31 B
Sanofi India Limited,SANOFI.NS,$2.31 B
TISCO Financial Group,TISCO.BK,$2.31 B
ComfortDelGro,C52.SI,$2.31 B
QinetiQ,QQ.L,$2.31 B
Blue Star,BLUESTARCO.NS,$2.31 B
Cushman & Wakefield,CWK,$2.31 B
Metcash,MTS.AX,$2.30 B
Tianjin FAW,000927.SZ,$2.30 B
Bank of Georgia Group,BGEO.L,$2.30 B
GoodRx,GDRX,$2.30 B
Paradox Interactive,PDX.ST,$2.30 B
Veritiv,VRTV,$2.30 B
Rogers Corporation,ROG,$2.30 B
Bayanat AI,BAYANAT.AE,$2.30 B
StoneX Group,SNEX,$2.30 B
Green Brick Partners,GRBK,$2.29 B
Serco Group,SRP.L,$2.29 B
ACV Auctions,ACVA,$2.29 B
Mainova,MNV6.F,$2.29 B
Maple Leaf Foods,MFI.TO,$2.29 B
Progress Software,PRGS,$2.28 B
GlobalData,DATA.L,$2.28 B
Itaú CorpBanca,ITCB,$2.28 B
Telus International,TIXT,$2.28 B
Arvinas,ARVN,$2.28 B
First Advantage,FA,$2.27 B
Integral Ad Science,IAS,$2.27 B
eXp World Holdings,EXPI,$2.27 B
TreeHouse Foods,THS,$2.26 B
Global Net Lease,GNL,$2.26 B
KRUK Spólka Akcyjna,KRU.WA,$2.26 B
Piramal Pharma,PPLPHARMA.NS,$2.26 B
IDEAYA Biosciences,IDYA,$2.25 B
ams AG,DQW1.F,$2.25 B
Strategic Education,STRA,$2.25 B
Four Corners Property Trust,FCPT,$2.24 B
Extreme Networks,EXTR,$2.24 B
Impinj,PI,$2.24 B
Cembra Money Bank,CMBN.SW,$2.24 B
Ardagh Metal Packaging,AMBP,$2.24 B
Travis Perkins,TPK.L,$2.23 B
Enlight Renewable Energy,ENLT,$2.23 B
Eutelsat,ETL.PA,$2.23 B
Uponor,UPONOR.HE,$2.23 B
Sovos Brands,SOVO,$2.23 B
Jasa Marga,JSMR.JK,$2.23 B
Outfront Media,OUT,$2.22 B
Hays plc,HAS.L,$2.22 B
PriceSmart,PSMT,$2.22 B
Salvatore Ferragamo,SFER.MI,$2.22 B
Sunstone Hotel Investors,SHO,$2.22 B
Elang Mahkota Teknologi,EMTK.JK,$2.22 B
Ambarella,AMBA,$2.22 B
Usiminas,USIM5.SA,$2.22 B
Victory Capital,VCTR,$2.22 B
WH Smith,SMWH.L,$2.21 B
Patria Investments,PAX,$2.21 B
Mirion Technologies,MIR,$2.21 B
Urban Edge Properties,UE,$2.20 B
WHA Corporation,WHA.BK,$2.20 B
Minerals Technologies,MTX,$2.20 B
Hilltop Holdings,HTH,$2.20 B
Qatar Insurance Company,QATI.QA,$2.19 B
First Financial Bank,FFBC,$2.19 B
OYAK Çimento,OYAKC.IS,$2.19 B
TowneBank,TOWN,$2.19 B
SJM Holdings,0880.HK,$2.19 B
Gestamp Automoción,GEST.MC,$2.18 B
Toho Gas,9533.T,$2.18 B
Garrett Motion,GTX,$2.18 B
AssetMark,AMK,$2.18 B
AAR,AIR,$2.18 B
Jamf,JAMF,$2.18 B
dormakaba,DOKA.SW,$2.17 B
Sharjah Islamic Bank,SIB.AE,$2.17 B
CompuGroup Medical,COP.DE,$2.17 B
Alkami Technology,ALKT,$2.17 B
SMA Solar Technology,S92.F,$2.17 B
OSI Systems,OSIS,$2.17 B
Permata Bank,BNLI.JK,$2.17 B
Energizer Holdings,ENR,$2.17 B
Canadian Western Bank,CWB.TO,$2.16 B
Construction Partners,ROAD,$2.16 B
Mueller Water Products,MWA,$2.16 B
SSR Mining,SSRM,$2.16 B
Granite Construction,GVA,$2.16 B
Tata Teleservices,TTML.NS,$2.15 B
Vodafone Qatar,VFQS.QA,$2.15 B
Driven Brands,DRVN,$2.15 B
Aritzia,ATZ.TO,$2.15 B
Aareal Bank,ARL.F,$2.14 B
Ninety One Group,N91.L,$2.14 B
Celldex Therapeutics,CLDX,$2.14 B
NWTN Inc.,NWTN,$2.14 B
First Merchants Corporation,FRME,$2.14 B
Boot Barn Holdings,BOOT,$2.14 B
Trinity Industries,TRN,$2.13 B
Par Pacific Holdings,PARR,$2.13 B
MONETA Money Bank,MONET.PR,$2.13 B
Navient,NAVI,$2.13 B
Prothena,PRTA,$2.13 B
Perficient,PRFT,$2.13 B
B.Grimm Power,BGRIM.BK,$2.13 B
Chorus,CNU.NZ,$2.12 B
Fastly,FSLY,$2.12 B
PIERER Mobility,PMAG.F,$2.12 B
ePlus,PLUS,$2.12 B
Indivior PLC,INDV,$2.12 B
VIAVI Solutions,VIAV,$2.12 B
Singapore Land,U06.SI,$2.12 B
Peloton,PTON,$2.12 B
SkyWest,SKYW,$2.12 B
DCM Shriram,DCMSHRIRAM.NS,$2.12 B
Koza Gold,KOZAL.IS,$2.11 B
African Rainbow Minerals,ARI.JO,$2.11 B
Estun Automation,002747.SZ,$2.11 B
Mercury General,MCY,$2.11 B
Growthpoint Properties,GRT.JO,$2.10 B
Blue Dart Express,BLUEDART.NS,$2.10 B
EIH Limited,EIHOTEL.NS,$2.10 B
BFF Bank,BFF.MI,$2.10 B
Chartwell Retirement Residences,CSH-UN.TO,$2.10 B
Beam Therapeutics,BEAM,$2.10 B
IIFL Wealth Management,IIFLWAM.NS,$2.10 B
Ansell,ANN.AX,$2.10 B
Paymentus,PAY,$2.10 B
Topaz Energy,TPZ.TO,$2.10 B
Inter & Co,INTR,$2.10 B
Patrick Industries,PATK,$2.10 B
MGP Ingredients,MGPI,$2.09 B
PTC Therapeutics,PTCT,$2.09 B
RHI Magnesita,RHF.F,$2.09 B
SeSa S.p.A.,SES.MI,$2.09 B
Hartalega,5168.KL,$2.09 B
Mr Price Group,MRP.JO,$2.09 B
RBL Bank,RBLBANK.NS,$2.09 B
"Gentera, S.A.B. de C.V.",GENTERA.MX,$2.08 B
Park National Corp,PRK,$2.08 B
Secure Energy Services,SES.TO,$2.08 B
Nordic Semiconductor,NOD.OL,$2.08 B
H&R REIT,HR-UN.TO,$2.07 B
Silicon Motion,SIMO,$2.07 B
Inter Cars,CAR.WA,$2.07 B
PageGroup,PAGE.L,$2.07 B
Telix Pharmaceuticals,TLX.AX,$2.07 B
Whirlpool India,WHIRLPOOL.NS,$2.06 B
Equity Commonwealth,EQC,$2.06 B
Al Seer Marine Supplies & Equipment Company,ASM.AE,$2.06 B
Ashmore Group,ASHM.L,$2.06 B
Star Bulk Carriers,SBLK,$2.06 B
Migros Ticaret A.S.,MGROS.IS,$2.05 B
Danieli & C. Officine Meccaniche,DAN.MI,$2.05 B
Independent Bank Group,IBTX,$2.05 B
Aker Solutions ASA,AKSO.OL,$2.05 B
Laureate Education,LAUR,$2.05 B
Formosa Sumco Technology,3532.TW,$2.05 B
ENAV,ENAV.MI,$2.05 B
Adeka Corporation,4401.T,$2.05 B
Telephone and Data Systems,TDS,$2.05 B
SJW Group,SJW,$2.05 B
Dave & Buster's,PLAY,$2.05 B
Iovance Biotherapeutics,IOVA,$2.04 B
Oceaneering International,OII,$2.04 B
Golden Ocean Group,GOGL,$2.04 B
CenturyPly,CENTURYPLY.NS,$2.04 B
Elgi Equipments,ELGIEQUIP.NS,$2.03 B
Xerox,XRX,$2.03 B
Tecnoglass,TGLS,$2.03 B
PROCEPT BioRobotics,PRCT,$2.03 B
The Bancorp,TBBK,$2.03 B
JOYY,YY,$2.03 B
Getty Images,GETY,$2.03 B
Bowlero,BOWL,$2.03 B
Ratch Group,RATCH.BK,$2.03 B
Paladin Energy,PDN.AX,$2.03 B
Sylvamo,SLVM,$2.03 B
Inox Wind,INOXWIND.NS,$2.02 B
Stepan Company,SCL,$2.02 B
Russel Metals,RUS.TO,$2.02 B
SUSE S.A.,SUSE.DE,$2.02 B
Burgan Bank,BURG.KW,$2.02 B
NeoGenomics,NEO,$2.02 B
TODA corp,1860.T,$2.02 B
CleanSpark,CLSK,$2.02 B
Energix Renewable Energies,ENRG.TA,$2.02 B
Entra,ENTRA.OL,$2.02 B
Tronox,TROX,$2.02 B
Stelco,STLC.TO,$2.01 B
NH Hotel Group,NHH.MC,$2.01 B
Winnebago Industries,WGO,$2.01 B
The a2 Milk Company,A2M.AX,$2.01 B
WaFd Bank,WAFD,$2.01 B
Textainer Group,TGH,$2.01 B
Webuild S.p.A.,WBD.MI,$2.01 B
Udemy,UDMY,$2.00 B
Basic-Fit,BFIT.AS,$2.00 B
Banc of California,BANC,$2.00 B
National Mobile Telecommunications Company,OOREDOO.KW,$2.00 B
Office Depot,ODP,$2.00 B
Electricity Generating Public Company,EGCO.BK,$1.99 B
Cogeco,CCA.TO,$1.99 B
Janus International Group,JBI,$1.99 B
Eve Air Mobility,EVEX,$1.99 B
WIN Semiconductors,3105.TWO,$1.99 B
Agilysys,AGYS,$1.98 B
Fairfax India Holdings,FIH-U.TO,$1.98 B
Mercury Systems,MRCY,$1.98 B
Verbio,VBK.F,$1.98 B
Sonos,SONO,$1.98 B
Bavarian Nordic,BAVA.CO,$1.98 B
Winpak,WPK.TO,$1.98 B
Technogym,TGYM.MI,$1.98 B
AEON REIT Investment,3292.T,$1.98 B
Vermilion Energy,VET,$1.98 B
Almirall,ALM.MC,$1.98 B
Afya,AFYA,$1.97 B
Tessenderlo Group,TESB.BR,$1.97 B
Goodman Property Trust,GMT.NZ,$1.97 B
Parex Resources,PXT.TO,$1.97 B
Hysan Development,0014.HK,$1.97 B
Enovix,ENVX,$1.97 B
Cimpress,CMPR,$1.97 B
Filo Mining,FIL.TO,$1.97 B
Mandarin Oriental,M04.SI,$1.97 B
AUB Group,AUB.AX,$1.96 B
CASIO,6952.T,$1.96 B
PagerDuty,PD,$1.96 B
Dorian LPG,LPG,$1.96 B
Ourpalm,300315.SZ,$1.96 B
IndiaMART,INDIAMART.NS,$1.96 B
Kennametal,KMT,$1.96 B
LegalZoom,LZ,$1.96 B
Coface,COFA.PA,$1.96 B
Outokumpu,OUT1V.HE,$1.96 B
Rover,ROVR,$1.96 B
Dana,DAN,$1.96 B
Exclusive Networks,EXN.PA,$1.96 B
Hanmi Pharmaceutical,008930.KS,$1.96 B
Federal Agricultural Mortgage,AGM,$1.95 B
Diamondrock Hospitality Company,DRH,$1.95 B
Loomis AB,LOOMIS.ST,$1.95 B
Trainline,TRN.L,$1.95 B
Oscar Health,OSCR,$1.95 B
Osotspa,OSP.BK,$1.95 B
MillerKnoll,MLKN,$1.95 B
Bradespar,BRAP3.SA,$1.94 B
Delek Logistics Partners,DKL,$1.94 B
Kindred Group,KIND-SDB.ST,$1.94 B
Six Flags,SIX,$1.94 B
Multi Commodity Exchange,MCX.NS,$1.94 B
Banpu Public Company,BANPU.BK,$1.94 B
SolarWinds,SWI,$1.94 B
Allied Properties REIT,AP-UN.TO,$1.94 B
SiriusPoint,SPNT,$1.94 B
Ahli United Bank,ALMUTAHED.KW,$1.94 B
EverCommerce,EVCM,$1.93 B
Pets at Home,PETS.L,$1.93 B
Chambal Fertilisers,CHAMBLFERT.NS,$1.93 B
HNI Corporation,HNI,$1.93 B
Richelieu Hardware,RCH.TO,$1.93 B
Cedar Fair,FUN,$1.93 B
Ngern Tid Lor,TIDLOR.BK,$1.92 B
Twist Bioscience,TWST,$1.92 B
NBT Bancorp,NBTB,$1.92 B
BlackBerry,BB,$1.92 B
Philip Morris ČR,TABAK.PR,$1.92 B
goeasy,GSY.TO,$1.92 B
Sonae,SON.LS,$1.91 B
Live Oak Bank,LOB,$1.91 B
DFDS A/S,DFDS.CO,$1.91 B
Jeudan,JDAN.CO,$1.91 B
Alembic Pharmaceuticals,APLLTD.NS,$1.91 B
Sixth Street Specialty Lending,TSLX,$1.91 B
Thai Union Group,TU.BK,$1.91 B
Ironwood Pharmaceuticals,IRWD,$1.90 B
MultiChoice Group,MCG.JO,$1.90 B
KWS,KWS.F,$1.90 B
The Foschini Group,TFG.JO,$1.90 B
CJ Group,001040.KS,$1.90 B
Robertet,CBE.PA,$1.90 B
Upwork,UPWK,$1.90 B
Spar Nord Bank A/S,SPNO.CO,$1.89 B
Victoria's Secret & Co,VSCO,$1.89 B
Huron Consulting,HURN,$1.89 B
Structure Therapeutics,GPCR,$1.89 B
NBCC India,NBCC.NS,$1.89 B
Olav Thon,OLT.OL,$1.89 B
Dynavax Technologies,DVAX,$1.89 B
The Andersons,ANDE,$1.89 B
Aktieselskabet Schouw & Co.,SCHO.CO,$1.89 B
Finolex Cables,FINCABLES.NS,$1.89 B
HighPeak Energy,HPK,$1.89 B
Atmus Filtration Technologies,ATMU,$1.88 B
Al Ahli Bank of Kuwait,ABK.KW,$1.88 B
Pebblebrook Hotel Trust,PEB,$1.88 B
Summit Therapeutics,SMMT,$1.88 B
Bank für Tirol und Vorarlberg,BTS.VI,$1.87 B
Montea Comm,MONT.BR,$1.87 B
Bytes Technology,BYIT.L,$1.87 B
Kinetik,KNTK,$1.87 B
Compagnie Plastic Omnium,POM.PA,$1.87 B
Claros Mortgage Trust,CMTG,$1.87 B
NOS,NOS.LS,$1.87 B
Zug Estates Holding,ZUGN.SW,$1.86 B
Teekay Tankers,TNK,$1.86 B
Welspun India,WELSPUNIND.NS,$1.86 B
Kuwait Telecommunications Company,STC.KW,$1.86 B
Veracyte,VCYT,$1.86 B
Borr Drilling,BORR,$1.85 B
Deterra Royalties,DRR.AX,$1.85 B
Hudbay Minerals,HBM,$1.85 B
Kokuyo,7984.T,$1.85 B
Hims & Hers Health,HIMS,$1.85 B
Harmony Biosciences,HRMY,$1.85 B
Altarea,ALTA.PA,$1.84 B
Crombie Real Estate Investment Trust,CRR-UN.TO,$1.84 B
Quilter,QLT.L,$1.84 B
Kerry Logistics Network,0636.HK,$1.84 B
Sonic Automotive,SAH,$1.83 B
Photronics,PLAB,$1.83 B
Genus,GNS.L,$1.83 B
Höegh Autoliners,HAUTO.OL,$1.83 B
Minera Valparaíso,MINERA.SN,$1.83 B
Masonite,DOOR,$1.83 B
Assura Plc,AGR.L,$1.83 B
Renasant Corp,RNST,$1.82 B
Amneal Pharmaceuticals,AMRX,$1.82 B
KEC International,KEC.NS,$1.82 B
Tiger Brands,TBS.JO,$1.82 B
H&E Equipment Services,HEES,$1.82 B
Grand City Properties,GYC.DE,$1.82 B
FB Financial,FBK,$1.82 B
DAQO New Energy,DQ,$1.82 B
CIMC Enric,3899.HK,$1.81 B
Peyto Exploration & Development,PEY.TO,$1.81 B
Deutsche EuroShop,DEQ.F,$1.81 B
GÜBRETAŞ,GUBRF.IS,$1.81 B
Inhibrx,INBX,$1.81 B
Payoneer,PAYO,$1.81 B
Televisa,TV,$1.81 B
Hang Lung Group,0010.HK,$1.81 B
Iluka Resources,ILU.AX,$1.81 B
Central Plaza Hotel,CENTEL.BK,$1.80 B
Semrush,SEMR,$1.80 B
Mitsui Fudosan Logistics Park,3471.T,$1.80 B
Natco Pharma,NATCOPHARM.NS,$1.80 B
Mitsui High-tec,6966.T,$1.80 B
Brinker International,EAT,$1.80 B
Métropole Télévision (Groupe M6),MMT.PA,$1.80 B
Tandem Diabetes Care,TNDM,$1.80 B
Alumina Limited,AWC.AX,$1.80 B
WesBanco,WSBC,$1.80 B
OVH Groupe,OVH.PA,$1.80 B
ProKidney,PROK,$1.79 B
Com7 Public Company,COM7.BK,$1.79 B
Nongshim,004370.KS,$1.79 B
Enerjisa Enerji,ENJSA.IS,$1.79 B
Edgewell Personal Care,EPC,$1.79 B
Catalyst Pharmaceuticals,CPRX,$1.79 B
Kainos Group,KNOS.L,$1.78 B
Champion REIT,2778.HK,$1.78 B
Bank Danamon,BDMN.JK,$1.78 B
Vector Group,VGR,$1.78 B
MeridianLink,MLNK,$1.78 B
Hansol Chemical,014680.KS,$1.78 B
Syndax Pharmaceuticals,SNDX,$1.78 B
Fine Organics,FINEORG.NS,$1.78 B
Viking Therapeutics,VKTX,$1.77 B
Fluxys Belgium,FLUX.BR,$1.77 B
Indian Energy Exchange,IEX.NS,$1.77 B
Fila,081660.KS,$1.77 B
BGF Retail,282330.KS,$1.77 B
Qt Group,QTCOM.HE,$1.77 B
Primary Health Properties,PHP.L,$1.76 B
Pacific Basin Shipping,2343.HK,$1.76 B
AMP Limited,AMP.AX,$1.76 B
Upbound Group,UPBD,$1.76 B
XL Axiata,EXCL.JK,$1.76 B
Triumph Financial,TFIN,$1.76 B
Lumen,LUMN,$1.76 B
Acadia Realty Trust,AKR,$1.75 B
Savills,SVS.L,$1.75 B
National Western Life,NWLI,$1.75 B
TANLA,TANLA.NS,$1.75 B
Donnelley Financial Solutions,DFIN,$1.75 B
Banner Bank,BANR,$1.75 B
Tejas Networks,TEJASNET.NS,$1.75 B
InMode,INMD,$1.75 B
Gulf Insurance Group,GINS.KW,$1.75 B
Weis Markets,WMK,$1.75 B
MaxLinear,MXL,$1.75 B
Jetblue Airways,JBLU,$1.74 B
Merchants Bancorp,MBIN,$1.74 B
Standex,SXI,$1.74 B
Atoss,AOF.F,$1.74 B
Talos Energy,TALO,$1.74 B
TKH Group,TWEKA.AS,$1.74 B
Titan Cement International,TITC.BR,$1.74 B
NuVista Energy,NVA.TO,$1.73 B
Playtech,PTEC.L,$1.73 B
PVR Cinemas,PVR.NS,$1.73 B
Grupa Kety,KTY.WA,$1.73 B
NexPoint Residential,NXRT,$1.73 B
Zeta Global,ZETA,$1.73 B
Archer Aviation,ACHR,$1.72 B
Superior Plus,SPB.TO,$1.72 B
Össur,OSSR.CO,$1.72 B
Retail Opportunity Investments,ROIC,$1.72 B
Merida Industry,9914.TW,$1.72 B
Ready Capital,RC,$1.72 B
Forbo Holding,FORN.SW,$1.72 B
Expro Group,XPRO,$1.72 B
Spirit Airlines,SAVE,$1.71 B
Jinko Solar,JKS,$1.71 B
American Assets Trust,AAT,$1.71 B
Yellow Cake plc,YCA.L,$1.71 B
Stagwell,STGW,$1.70 B
Hillman Solutions,HLMN,$1.70 B
AbCellera,ABCL,$1.70 B
REN (Redes Energéticas Nacionais),RENE.LS,$1.70 B
InvenTrust Properties,IVT,$1.70 B
Al Yah Satellite Communications Company,YAHSAT.AE,$1.70 B
TGS ASA,TGS.OL,$1.70 B
First National Financial,FN.TO,$1.70 B
China Gold International Resources,CGG.TO,$1.69 B
MFE-Mediaforeurope,MFEA.MI,$1.69 B
John Wiley & Sons,WLY,$1.69 B
Vicor,VICR,$1.69 B
Dexerials Corporation,4980.T,$1.69 B
Hektaş,HEKTS.IS,$1.69 B
Top Glove,BVA.SI,$1.69 B
Pfeiffer Vacuum,PFV.F,$1.69 B
PC Connection,CNXN,$1.69 B
Stabilus,STM.DE,$1.69 B
First Pacific Company,0142.HK,$1.68 B
Apollo Medical Holdings,AMEH,$1.68 B
Virtus Investment Partners,VRTS,$1.68 B
Harel Group,HARL.TA,$1.68 B
The Cheesecake Factory,CAKE,$1.68 B
NV5 Global,NVEE,$1.68 B
Victrex,VCT.L,$1.68 B
Perseus Mining,PRU.AX,$1.68 B
DHT Holdings,DHT,$1.68 B
OFG Bancorp,OFG,$1.68 B
Plus500,PLUS.L,$1.68 B
Asahi India Glass,ASAHIINDIA.NS,$1.68 B
Gujarat Mineral Development,GMDCLTD.NS,$1.67 B
Chalet Hotels,CHALET.NS,$1.67 B
4imprint Group,FOUR.L,$1.67 B
Sunnova,NOVA,$1.67 B
Santam,SNT.JO,$1.67 B
Primoris Services Corporation,PRIM,$1.67 B
Vista Outdoor,VSTO,$1.67 B
Srisawad Corporation,SAWAD.BK,$1.67 B
Cinemark Theatres,CNK,$1.67 B
Delek US,DK,$1.66 B
Ingles Markets,IMKTA,$1.66 B
Ascential,ASCL.L,$1.66 B
TF1,TFI.PA,$1.66 B
Tilray,TLRY,$1.66 B
BLS International,BLS.NS,$1.66 B
Forestar Group,FOR,$1.66 B
Trustmark,TRMK,$1.66 B
Flex Lng,FLNG,$1.66 B
AJ Bell,AJB.L,$1.66 B
Compass Diversified Holdings,CODI,$1.66 B
D/S Norden (Dampskibsselskabet Norden),DNORD.CO,$1.66 B
Warby Parker,WRBY,$1.66 B
Central Puerto,CEPU,$1.65 B
Atlas Energy Solutions,AESI,$1.65 B
Kennedy Wilson,KW,$1.65 B
Merus,MRUS,$1.65 B
Enterprise Financial Services Corp,EFSC,$1.65 B
Cementir,CEM.MI,$1.65 B
Customers Bancorp,CUBI,$1.65 B
Shutterstock,SSTK,$1.65 B
Genesis Energy,GNE.NZ,$1.65 B
Cracker Barrel,CBRL,$1.64 B
Tennant Company,TNC,$1.64 B
Ero Copper,ERO,$1.64 B
ZIM Integrated Shipping Services,ZIM,$1.64 B
Kahoot!,KAHOT.OL,$1.64 B
Redington India,REDINGTON.NS,$1.64 B
Hornbach Baumarkt,HBM.HM,$1.64 B
Cyfrowy Polsat,CPS.WA,$1.64 B
Veeco,VECO,$1.64 B
Safehold,SAFE,$1.63 B
Barco NV,BAR.BR,$1.63 B
Jenoptik,JEN.F,$1.63 B
Gentherm,THRM,$1.63 B
Arion banki,ARION.IC,$1.63 B
Tauron Polska,TPE.WA,$1.63 B
Keywords Studios,KWS.L,$1.63 B
Forward Air,FWRD,$1.63 B
Jack in the Box,JACK,$1.62 B
Enova International,ENVA,$1.62 B
Cellebrite,CLBT,$1.62 B
Vericel,VCEL,$1.62 B
CoreCivic,CXW,$1.62 B
Verona Pharma,VRNA,$1.62 B
Marten Transport,MRTN,$1.62 B
Finolex Industries,FINPIPE.NS,$1.62 B
Alok Industries,ALOKINDS.NS,$1.62 B
Hollysys Automation Technologie,HOLI,$1.62 B
Biotest,BIO.F,$1.61 B
Sabre,SABR,$1.61 B
Apollo Commercial Real Estate,ARI,$1.61 B
Jindal Stainless (Hisar),JSLHISAR.NS,$1.61 B
Electra,ELTR.TA,$1.61 B
Netcompany Group,NETC.CO,$1.61 B
Xometry,XMTR,$1.61 B
City Holding Company,CHCO,$1.61 B
Verint Systems,VRNT,$1.61 B
Happiest Minds Technologies,HAPPSTMNDS.NS,$1.61 B
Kuwait Projects Company Holding,KPROJ.KW,$1.61 B
Myriad Genetics,MYGN,$1.61 B
Lakeland Financial Corp,LKFN,$1.61 B
Borregaard,BRG.OL,$1.61 B
Sanlorenzo,SL.MI,$1.61 B
Karur Vysya Bank,KARURVYSYA.NS,$1.60 B
