company,code,market_cap
Ecolab,ECL,$55.88 B
O'Reilly Automotive,ORLY,$55.86 B
Bank Rakyat Indonesia,BBRI.JK,$55.53 B
ENI,E,$55.36 B
Charter Communications,CHTR,$55.25 B
Intesa Sanpaolo,ISP.MI,$55.07 B
Emerson,EMR,$54.65 B
TransDigm,TDG,$54.56 B
Trane Technologies,TT,$54.53 B
Dell,DELL,$54.45 B
Apollo Global Management,APO,$54.39 B
Saudi Telecom Company,7010.SR,$54.32 B
Midea,000333.SZ,$54.21 B
Banco Bilbao Vizcaya Argentaria,BBVA,$54.02 B
Pioneer Natural Resources,PXD,$53.98 B
Bank of Communications,601328.SS,$53.93 B
NXP Semiconductors,NXPI,$53.70 B
Kering,KER.PA,$53.36 B
Westpac Banking,WBC.AX,$53.24 B
Daiichi Sankyō,4568.T,$53.19 B
Public Storage,PSA,$52.94 B
Constellation Software,CSU.TO,$52.62 B
Simon Property Group,SPG,$52.60 B
Norfolk Southern,NSC,$52.56 B
Occidental Petroleum,OXY,$52.31 B
Volvo Group,VOLVF,$52.12 B
Motorola Solutions,MSI,$51.96 B
Republic Services,RSG,$51.95 B
ANZ Bank,ANZ.AX,$51.85 B
Universal Music Group,UMG.AS,$51.62 B
Alpha Dhabi,ALPHADHABI.AE,$50.97 B
National Grid,NGG,$50.91 B
Honda,HMC,$50.87 B
MetLife,MET,$50.11 B
Reckitt Benckiser,RKT.L,$50.01 B
Infineon,IFX.DE,$49.89 B
D. R. Horton,DHI,$49.62 B
Truist Financial,TFC,$49.55 B
Estee Lauder,EL,$49.46 B
Capital One,COF,$49.43 B
Crown Castle,CCI,$49.35 B
Paccar,PCAR,$49.19 B
Arthur J. Gallagher & Co.,AJG,$49.13 B
ING,ING,$49.07 B
Welltower,WELL,$48.96 B
General Motors,GM,$48.92 B
Marvell Technology Group,MRVL,$48.78 B
American International Group,AIG,$48.70 B
Autodesk,ADSK,$48.66 B
Sika,SIKA.SW,$48.61 B
Aflac,AFL,$48.54 B
Xiaomi,XIACF,$48.49 B
Mindray,300760.SZ,$48.40 B
Sempra Energy,SRE,$48.04 B
Tokio Marine,8766.T,$47.98 B
Banco Santander Brasil,BSBR,$47.86 B
MediaTek,2454.TW,$47.55 B
UniCredit,UCG.MI,$47.40 B
Cement Roadstone Holding,CRH,$47.25 B
Maaden,1211.SR,$47.12 B
Ford,F,$47.07 B
Energy Transfer Partners,ET,$46.92 B
Macquarie,MQG.AX,$46.88 B
Carrier,CARR,$46.86 B
BASF,BAS.DE,$46.65 B
Daikin,6367.T,$46.56 B
Kraft Heinz,KHC,$46.52 B
Foxconn (Hon Hai Precision Industry),2317.TW,$46.41 B
Compass Group,CPG.L,$46.40 B
HCL Technologies,HCLTECH.NS,$46.21 B
Hilton Worldwide,HLT,$46.04 B
Emirates Telecom (Etisalat Group),EAND.AE,$46.03 B
Newmont,NEM,$45.89 B
Ross Stores,ROST,$45.70 B
Pacific Gas and Electric,PCG,$45.68 B
Takeda Pharmaceutical,TAK,$45.56 B
Keurig Dr Pepper,KDP,$45.55 B
Japan Tobacco,2914.T,$45.52 B
Nordea Bank,NDA-FI.HE,$45.47 B
Microchip Technology,MCHP,$45.35 B
Zijin Mining,601899.SS,$45.25 B
Hess,HES,$45.12 B
Copart,CPRT,$45.11 B
Fomento Económico Mexicano,FMX,$45.02 B
Denso,6902.T,$44.88 B
Fortinet,FTNT,$44.76 B
Ambev,ABEV,$44.68 B
IDEXX Laboratories,IDXX,$44.64 B
Valero Energy,VLO,$44.60 B
Edwards Lifesciences,EW,$44.55 B
Constellation Brands,STZ,$44.54 B
AutoZone,AZO,$44.53 B
BAE Systems,BA.L,$44.52 B
Kotak Mahindra Bank,KOTAKBANK.NS,$44.52 B
CIBC,CM,$44.37 B
Pernod Ricard,RI.PA,$44.34 B
MSCI,MSCI,$44.23 B
The Travelers Companies,TRV,$44.18 B
American Electric Power,AEP,$43.98 B
Williams Companies,WMB,$43.95 B
Suncor Energy,SU,$43.76 B
Holcim Group,HOLN.SW,$43.68 B
Crédit Agricole,ACA.PA,$43.62 B
Mizuho Financial Group,MFG,$43.47 B
Wesfarmers,WES.AX,$43.24 B
ENGIE,ENGI.PA,$43.15 B
Seagen,SGEN,$43.15 B
OCBC Bank,O39.SI,$43.08 B
Nucor,NUE,$42.99 B
Jingdong Mall,JD,$42.90 B
STMicroelectronics,STM,$42.63 B
Danone,BN.PA,$42.61 B
Old Dominion Freight Line,ODFL,$42.51 B
Hikvision,002415.SZ,$42.46 B
Paychex,PAYX,$42.45 B
Industrial Bank,601166.SS,$42.42 B
Kühne + Nagel,KNIN.SW,$42.41 B
Cencora,COR,$42.31 B
Block,SQ,$42.15 B
Bayan Resources,BYAN.JK,$42.00 B
Hong Kong Exchanges & Clearing,0388.HK,$41.86 B
Realty Income,O,$41.76 B
First Abu Dhabi Bank,FAB.AE,$41.75 B
Samsung Biologics,207940.KS,$41.70 B
Axis Bank,AXISBANK.BO,$41.67 B
Oneok,OKE,$41.58 B
Kimberly-Clark,KMB,$41.48 B
TE Connectivity,TEL,$41.34 B
Moderna,MRNA,$41.31 B
TC Energy,TRP,$41.28 B
Centene,CNC,$41.25 B
Hoya,7741.T,$41.19 B
Lennar,LEN,$41.19 B
Baidu,BIDU,$41.18 B
Adani Enterprises,ADANIENT.NS,$41.09 B
Grupo México,GMBXF,$41.03 B
QNB (Qatar National Bank),QNBK.QA,$41.03 B
Digital Realty,DLR,$40.98 B
Maybank,MLYBY,$40.94 B
Cheniere Energy,LNG,$40.77 B
W. W. Grainger,GWW,$40.56 B
Dominion Energy,D,$40.45 B
Kenvue,KVUE,$40.33 B
Bank of New York Mellon,BK,$40.28 B
IQVIA,IQV,$40.23 B
Woodside Energy,WDS,$40.11 B
Kinder Morgan,KMI,$40.04 B
Titan Company,TITAN.NS,$39.69 B
L3Harris Technologies,LHX,$39.66 B
CITIC Securities,600030.SS,$39.39 B
Manulife Financial,MFC,$39.31 B
The Hershey Company,HSY,$39.24 B
Nu Holdings,NU,$39.22 B
