company_x,esg_rating,stock_name,company_y,roe,company,code,market_cap
ADNOC Drilling Co. PJSC,21.9,ADS:ADNOCDRILL,,,,,
"Adobe, Inc.",14.7,NAS:ADBE,,,,,
Adolf Würth GmbH & Co. KG,26.0,-,,,,,
ADS-TEC Energy Plc,28.5,NAS:ADSE,,,,,
"ADT, Inc.",22.3,NYS:ADT,,,,,
"Adtalem Global Education, Inc.",10.9,NYS:ATGE,,,,,
"AdTheorent Holding Co., Inc.",25.8,NAS:ADTH,,,,,
"ADTRAN Holdings, Inc.",19.0,NAS:ADTN,,,,,
Adtran Networks SE,11.1,ETR:ADV,,,,,
"ADVAN GROUP CO., LTD",26.8,TKS:7463,,,,,
"Advance Auto Parts, Inc.",11.6,NYS:AAP,,,,,
Advance Logistics Investment Corp.,14.6,TKS:3493,,,,,
Advance Residence Investment Corp.,14.4,TKS:3269,,,,,
Advanced Ceramic X Corp.,17.4,ROCO:3152,,,,,
"Advanced Drainage Systems, Inc.",26.7,NYS:WMS,,,,,
"Advanced Energy Industries, Inc.",17.8,NAS:AEIS,,,,,
"Advanced Energy Solution Holding Co., Ltd.",25.3,TAI:6781,,,,,
Advanced Enzyme Technologies Ltd.,34.0,BOM:540025,,,,,
"Advanced Info Service Public Co., Ltd.",21.6,BKK:ADVANC,,,,,
Advanced International Multitech Co. Ltd.,11.5,ROCO:8938,,,,,
Advanced Medical Solutions Group Plc,13.2,LON:AMS,,,,,
"Advanced Micro Devices, Inc.",15.0,NAS:AMD,,,,,
"Advanced Micro Fabrication Equipment, Inc. China",24.5,SHG:688012,,,,,
"Advanced Nano Products Co., Ltd.",36.6,KRX:121600,,,,,
Advanced Petrochemical Co.,27.8,SAU:2330,,,,,
Advanced Process Systems Corp.,29.1,KRX:265520,,,,,
"Advanced Technology & Materials Co., Ltd.",53.0,SHE:000969,,,,,
Advanced Wireless Semiconductor Co.,20.6,ROCO:8086,,,,,
"Advansix, Inc.",23.9,NYS:ASIX,,,,,
Advantage Energy Ltd.,50.5,TSE:AAV,,,,,
"Advantage Solutions, Inc. (California)",18.4,NAS:ADV,,,,,
"Advantech Co., Ltd.",19.3,TAI:2395,,,,,
Advantest Corp.,16.5,TKS:6857,,,,,
"Adventure, Inc.",33.7,TKS:6030,,,,,
ADvTECH Ltd.,17.2,JSE:ADH,,,,,
Adyen NV,16.2,AMS:ADYEN,,,,,
"AECC Aero-engine Control Co., Ltd.",44.2,SHE:000738,,,,,
"AECC Aviation Power Co., Ltd.",48.8,SHG:600893,,,,,
AECI Ltd.,28.5,JSE:AFE,,,,,
