company_x,esg_rating,stock_name,company_y,roe,company,code,market_cap
Mediobanca Banca di Credito Finanziario SpA,15.7,MIL:MB,,,,,
Medios AG,13.0,ETR:ILM1,,,Medios AG,ILM1.DE,$0.41 B
Medipal Holdings Corp.,18.5,TKS:7459,,,,,
"MEDIPOST Co., Ltd.",27.5,KRX:078160,,,,,
Medistim ASA,28.9,OSL:MEDI,,,,,
Mediterranean & Gulf Insurance & Reinsurance Co.,33.3,SAU:8030,,,,,
Medivir AB,27.6,OME:MVIR,,,,,
"Medley, Inc.",23.1,TKS:4480,,,,,
"Medlive Technology Co., Ltd.",18.5,HKG:2192,,,,,
medmix AG,27.8,SWX:MEDX,,,,,
"Medpace Holdings, Inc.",17.2,NAS:MEDP,,,,,
"MedPacto, Inc.",35.3,KRX:235980,,,,,
"MedPeer, Inc.",24.5,TKS:6095,,,,,
MedPlus Health Services Ltd.,19.3,BOM:543427,,,,,
Medtronic Plc,23.0,NYS:MDT,,,,,
"Medtronic, Inc.",29.5,-,,,,,
"Medy-Tox, Inc.",29.9,KRX:086900,,,,,
MEG Energy Corp.,36.0,TSE:MEG,,,,,
"Mega Financial Holding Co., Ltd.",18.2,TAI:2886,,,,,
Mega First Corp. Bhd.,30.9,KLS:3069,,,,,
Mega Lifesciences Public Co. Ltd.,28.1,BKK:MEGA,,,,,
Mega Or Holdings Ltd.,22.3,TAE:MGOR,,,,,
Megacable Holdings SAB de CV,30.7,MEX:MEGACPO,,,,,
MegaChips Corp.,35.6,TKS:6875,,,,,
Megaport Ltd.,24.0,ASX:MP1,,,,,
"MegaStudyEdu Co., Ltd.",19.0,KRX:215200,,,,,
Megaworld Corp.,21.0,PHS:MEG,,,,,
MEGlobal Canada ULC,27.4,-,,,,,
"MEGMILK SNOW BRAND Co., Ltd.",27.7,TKS:2270,,,,,
Meidensha Corp.,23.1,TKS:6508,,,,,
Meier Tobler Group AG,35.0,SWX:MTG,,,,,
"Meiji Holdings Co., Ltd.",24.1,TKS:2269,,,,,
"Meiko Electronics Co., Ltd.",21.5,TKS:6787,,,,,
"Meinian Onehealth Healthcare Holdings Co., Ltd.",27.0,SHE:002044,,,,,
MeiraGTx Holdings Plc,24.4,NAS:MGTX,,,,,
"Meisei Industrial Co., Ltd.",39.4,TKS:1976,,,,,
"MEITEC Group Holdings, Inc.",24.2,TKS:9744,,,,,
"Meitu, Inc.",21.0,HKG:1357,,,,,
Meituan,23.0,HKG:3690,,,Meituan,3690.HK,$61.96 B
MEKO AB,10.9,OME:MEKO,,,,,
"Melco Holdings, Inc.",23.9,TKS:6676,,,,,
Melco International Development Ltd.,30.0,HKG:200,,,,,
Melco Resorts & Entertainment Ltd.,21.4,NAS:MLCO,,,,,
Melexis NV,26.9,BRU:MELE,,,Melexis NV,MELE.BR,$3.83 B
Meliá Hotels International SA,25.7,MCE:MEL,,,,,
Melisron Ltd.,23.3,TAE:MLSR,,,,,
Méliuz SA,19.9,BSP:CASH3,,,,,
Melrose Industries Plc,27.8,LON:MRO,,,,,
Meltwater NV,25.0,-,,,,,
Memorial Sloan Kettering Cancer Center,31.3,-,,,,,
Mendus AB,27.7,OME:IMMU,,,,,
"Menicon Co., Ltd.",14.5,TKS:7780,,,,,
Menora Mivtachim Holdings Ltd.,34.3,TAE:MMHD,,,,,
"MercadoLibre, Inc.",22.6,NAS:MELI,,,,,
Mercantile Bank Corp.,27.9,NAS:MBWM,,,,,
"Mercari, Inc.",29.3,TKS:4385,,,,,
Mercator Ltd.,28.1,BOM:526235,,,,,
Mercedes-Benz Group AG,19.6,ETR:MBG,,,,,
Mercedes-Benz North America Corp.,12.3,-,,,,,
"Mercer International, Inc.",21.4,NAS:MERC,,,,,
Merchants Bancorp (Indiana),33.1,NAS:MBIN,,,,,
Mercialys SA,8.8,PAR:MERY,,,,,
"Merck & Co., Inc.",21.2,NYS:MRK,,,,,
Merck KGaA,18.0,ETR:MRK,,,Merck KGaA,MRK.DE,$68.26 B
Mercuries & Associates Holding Ltd.,17.8,TAI:2905,,,,,
"Mercuries Life Insurance Co., Ltd.",25.4,TAI:2867,,,,,
Mercury Chile HoldCo LLC,23.4,-,,,,,
Mercury General Corp.,29.1,NYS:MCY,,,,,
Mercury NZ Ltd.,19.8,NZE:MCY,,,,,
"Mercury Systems, Inc.",31.5,NAS:MRCY,,,,,
"Merida Industry Co., Ltd.",15.0,TAI:9914,,,,,
"Meridian Bioscience, Inc.",19.6,-,,,,,
Meridian Energy Ltd.,18.3,NZE:MEL,,,,,
"MeridianLink, Inc.",21.2,NYS:MLNK,,,,,
"Merit Medical Systems, Inc.",15.7,NAS:MMSI,,,,,
Meritage Homes Corp.,12.1,NYS:MTH,,,,,
"MERITZ Financial Group, Inc.",15.7,KRX:138040,,,,,
"MERITZ SECURITIES Co., Ltd.",30.1,-,,,,,
MERLIN Properties SOCIMI SA,7.2,MCE:MRL,,,,,
"Merry Electronics Co., Ltd.",18.2,TAI:2439,,,,,
"Mersana Therapeutics, Inc.",28.0,NAS:MRSN,,,,,
Mersen SA,17.6,PAR:MRN,,,,,
Mersin Uluslararasi Liman Isletmeciligi AS,17.7,-,,,,,
Merus NV,26.6,NAS:MRUS,,,,,
"Mesa Laboratories, Inc.",15.4,NAS:MLAB,,,,,
Mesaieed Petrochemical Holding Co. QSC,28.0,DSMD:MPHC,,,,,
Mesoblast Ltd.,26.1,ASX:MSB,,,,,
"Meta Materials, Inc.",33.4,NAS:MMAT,,,,,
"Meta Platforms, Inc.",33.7,NAS:META,,,,,
Metall Zug AG,23.7,SWX:METN,,,,,
Metallurgical Corp. of China Ltd.,54.8,HKG:1618,,,,,
Metalsa SA de CV,19.4,-,,,,,
Metalúrgica Gerdau SA,38.5,BSP:GOAU4,,,,,
"METAWATER Co., Ltd.",27.5,TKS:9551,,,,,
Metcash Ltd.,15.5,ASX:MTS,,,,,
Methanex Corp.,24.4,TSE:MX,,,,,
Methanol Chemicals Co.,35.1,SAU:2001,,,,,
"Methode Electronics, Inc.",8.3,NYS:MEI,,,,,
Metinvest BV,39.1,-,,,,,
"MetLife, Inc.",16.4,NYS:MET,,,,,
METRO AG,19.7,ETR:B4B,,,Metro AG,B4B.F,$2.51 B
Metro Brands Ltd.,17.4,BOM:543426,,,,,
Metro de Lima Linea 2 SA,32.5,-,,,,,
Metro Pacific Investments Corp.,12.6,-,,,,,
"Metro, Inc.",23.0,TSE:MRU,,,,,
"MetroCity Bankshares, Inc.",29.1,NAS:MCBS,,,,,
Métropole Télévision SA,13.7,PAR:MMT,,,,,
Metropolis Healthcare Ltd.,16.6,BOM:542650,,,,,
Metropolitan Bank & Trust Co.,28.0,PHS:MBT,,,,,
Metropolitan Bank Holding Corp.,26.9,NYS:MCB,,,,,
Metropolitan Edison Co.,25.5,-,,,,,
Metropolitan Expressway Co. Ltd.,10.8,-,,,,,
Metropolitan Housing Trust Ltd.,23.0,-,,,,,
Metropolitan Tower Life Insurance Co.,12.6,-,,,,,
Metrovacesa SA (Madrid),15.9,MCE:MVC,,,,,
Metsä Board Oyj,14.1,HEL:METSB,,,,,
Metso Corp.,25.1,HEL:METSO,,,,,
"Mettler-Toledo International, Inc.",13.2,NYS:MTD,,,,,
Mexico Generadora de Energia S de Rl,33.2,-,,,,,
Meyer Burger Technology AG,23.8,SWX:MBTN,,,,,
Mezzan Holding Co. K.S.C.,45.8,KUW:MEZZAN,,,,,
"Mezzion Pharma Co., Ltd.",41.9,KRX:140410,,,,,
"MFA Financial, Inc.",15.1,NYS:MFA,,,,,
MFB Magyar Fejlesztési Bank Zrt.,14.5,-,,,,,
"MFC Asset Management Public Co., Ltd.",32.2,BKK:MFC,,,,,
MFE-MEDIAFOREUROPE NV,17.5,MIL:MFEB,,,,,
"MGE Energy, Inc.",25.4,NAS:MGEE,,,,,
MGI Digital Graphic Technology,22.3,PAR:ALMDG,,,,,
MGIC Investment Corp.,22.5,NYS:MTG,,,,,
MGM China Holdings Ltd.,25.6,HKG:2282,,,,,
MGM Resorts International,24.8,NYS:MGM,,,,,
"MGP Ingredients, Inc.",30.1,NAS:MGPI,,,,,
MHP SE,43.1,LON:MHPC,,,,,
Micro Systemation AB,23.9,OME:MSAB.B,,,,,
"Micro-Star International Co., Ltd.",16.8,TAI:2377,,,,,
"Microbio Co., Ltd.",27.2,ROCO:4128,,,,,
"Microchip Technology, Inc.",31.7,NAS:MCHP,,,,,
Microlink Solutions Bhd.,12.1,KLS:0126,,,,,
"Micron Technology, Inc.",18.5,NAS:MU,,,,,
"Micronics Japan Co., Ltd.",23.2,TKS:6871,,,,,
MicroPort CardioFlow Medtech Corp.,27.6,HKG:2160,,,,,
MicroPort Scientific Corp.,37.8,HKG:853,,,,,
Microsoft Corp.,15.2,NAS:MSFT,,,,,
"MicroStrategy, Inc.",26.9,NAS:MSTR,,,,,
"Microvast Holdings, Inc.",29.0,NAS:MVST,,,,,
"MicroVision, Inc.",19.5,NAS:MVIS,,,,,
"Mid Penn Bancorp, Inc.",28.8,NAS:MPB,,,,,
"Mid-America Apartment Communities, Inc.",13.0,NYS:MAA,,,,,
Mid-Atlantic Interstate Transmission LLC,54.3,-,,,,,
"Midac Holdings Co., Ltd.",24.1,TKS:6564,,,,,
MidAmerican Energy Co.,35.9,-,,,,,
MidCap Financial Investment Corp,24.9,NAS:MFIC,,,,,
Middle East Healthcare Co.,30.5,SAU:4009,,,,,
Middle East Paper Co.,20.9,SAU:1202,,,,,
Middlesex Water Co.,33.2,NAS:MSEX,,,,,
Midea Group Co. Ltd.,27.7,SHE:000333,,,,,
Midea Real Estate Holding Ltd.,22.3,HKG:3990,,,,,
"Midland States Bancorp, Inc.",31.2,NAS:MSBI,,,,,
Midsona AB,19.6,OME:MSON.B,,,,,
Midway Holding AB,36.9,OME:HAKI.B,,,,,
"MidWestOne Financial Group, Inc.",30.3,NAS:MOFG,,,,,
Midwich Group Plc,13.3,LON:MIDW,,,,,
"Mie Kotsu Group Holdings, Inc.",45.3,TKS:3232,,,,,
Migdal Insurance & Financial Holdings Ltd.,40.0,TAE:MGDL,,,,,
Migros Ticaret AS,13.1,IST:MGROS.E,,,,,
"Milbon Co., Ltd.",32.4,TKS:4919,,,,,
MilDef Group AB,18.1,OME:MILDEF,,,,,
Military Commercial Joint Stock Bank,34.0,STC:MBB,,,,,
"Milkyway Chemical Supply Chain Service Co., Ltd.",18.8,SHG:603713,,,,,
Millat Tractors Ltd.,23.6,KAR:MTL,,,,,
"Miller Industries, Inc. (Tennessee)",33.6,NYS:MLR,,,,,
"MillerKnoll, Inc.",8.1,NAS:MLKN,,,,,
Millicom International Cellular SA,21.7,OME:TIGO,,,,,
"Mills Locação, Serviços e Logística SA",23.1,BSP:MILS3,,,,,
"Mimasu Semiconductor Industry Co., Ltd.",24.2,TKS:8155,,,,,
"MiMedx Group, Inc.",27.5,NAS:MDXG,,,,,
Mincor Resources NL,46.0,-,,,,,
Minda Corp. Ltd.,12.7,BOM:538962,,,,,
Mindspace Business Parks REIT,13.1,BOM:543217,,,,,
"Minebea Mitsumi, Inc.",22.3,TKS:6479,,,,,
Minera México SA de CV,37.0,-,,,,,
Mineral Resources Ltd.,21.8,ASX:MIN,,,,,
"Minerals Technologies, Inc.",21.8,NYS:MTX,,,,,
Mineros SA,26.3,BOG:MINEROS,,,,,
Minerva SA,31.8,BSP:BEEF3,,,,,
"Ming Yang Smart Energy Group Co., Ltd.",27.9,SHG:601615,,,,,
Ming Yuan Cloud Group Holdings Ltd.,23.0,HKG:909,,,,,
MINISO Group Holding Ltd.,21.8,HKG:9896,,,,,
"Ministop Co., Ltd.",29.5,TKS:9946,,,,,
"Minor International Public Co., Ltd.",27.0,BKK:MINT,,,,,
Minsur SA,40.0,LIM:MINSURI1,,,,,
Minth Group Ltd.,21.2,HKG:425,,,,,
Minto Apartment Real Estate Investment Trust,14.8,TSE:MI.UT,,,,,
Mips AB,11.0,OME:MIPS,,,,,
"Miquel y Costas & Miquel, SA",21.0,MCE:MCM,,,,,
"MIRAE ASSET Life Insurance Co., Ltd.",25.5,KRX:085620,,,,,
"Mirae Asset Securities Co., Ltd.",23.6,KRX:006800,,,,,
MIRAI Corp.,18.8,TKS:3476,,,,,
MIRAIT One Corp.,35.2,TKS:1417,,,,,
"Miramar Hotel & Investment Co., Ltd.",28.9,HKG:71,,,,,
"Mirarth Holdings, Inc.",17.7,TKS:8897,,,,,
"Mirati Therapeutics, Inc.",27.4,NAS:MRTX,,,,,
"Mirion Technologies, Inc.",15.1,NYS:MIR,,,,,
"Miroku Jyoho Service Co., Ltd.",25.5,TKS:9928,,,,,
"Mirum Pharmaceuticals, Inc.",32.2,NAS:MIRM,,,,,
Mirvac Group,8.1,ASX:MGR,,,Mirvac Group,MGR.AX,$5.37 B
Mirvac Group Finance Ltd.,11.3,-,,,,,
MISC Bhd.,18.7,KLS:3816,,,,,
Misr Fertilizers Production Co. MOPCO,44.6,CAI:MFPC,,,,,
"Mission Produce, Inc.",39.3,NAS:AVO,,,,,
"Mister Car Wash, Inc.",16.5,NYS:MCW,,,,,
"MISUMI Group, Inc.",32.4,TKS:9962,,,,,
MiTAC Holdings Corp.,16.6,TAI:3706,,,,,
"Mitani Sekisan Co., Ltd.",44.6,TKS:5273,,,,,
Mitchells & Butlers Plc,27.0,LON:MAB,,,,,
"Mitek Systems, Inc.",20.8,NAS:MITK,,,,,
Mithra Pharmaceuticals SA,34.8,BRU:MITRA,,,,,
MITIE Group Plc,12.4,LON:MTO,,,,,
Mitsuba Corp.,26.4,TKS:7280,,,,,
Mitsubishi Chemical Group Corp.,32.9,TKS:4188,,,,,
Mitsubishi Corp.,20.7,TKS:8058,,,,,
Mitsubishi Electric Corp.,24.2,TKS:6503,,,,,
"Mitsubishi Estate Co., Ltd.",16.9,TKS:8802,,,,,
Mitsubishi Estate Logistics REIT Investment Corp.,18.4,TKS:3481,,,,,
"Mitsubishi Gas Chemical Co., Inc.",27.7,TKS:4182,,,,,
Mitsubishi HC Capital Inc.,25.2,TKS:8593,,,,,
"Mitsubishi Heavy Industries, Ltd.",28.9,TKS:7011,,,,,
"Mitsubishi Logisnext Co., Ltd.",32.7,TKS:7105,,,,,
Mitsubishi Logistics Corp.,19.7,TKS:9301,,,,,
Mitsubishi Materials Corp.,51.4,TKS:5711,,,,,
Mitsubishi Motors Corp.,30.0,TKS:7211,,,,,
"Mitsubishi Pencil Co., Ltd.",11.3,TKS:7976,,,,,
"Mitsubishi Research Institute, Inc.",19.3,TKS:3636,,,,,
"Mitsubishi Shokuhin Co., Ltd.",23.8,TKS:7451,,,,,
"Mitsubishi UFJ Financial Group, Inc.",22.3,TKS:8306,,,,,
Mitsuboshi Belting Ltd.,31.0,TKS:5192,,,,,
"Mitsui & Co., Ltd.",16.5,TKS:8031,,,,,
"Mitsui Chemicals, Inc.",21.9,TKS:4183,,,,,
"Mitsui DM Sugar Holdings Co., Ltd.",40.3,TKS:2109,,,,,
"MITSUI E&S Co., Ltd.",46.2,TKS:7003,,,,,
"Mitsui Fudosan Co., Ltd.",23.2,TKS:8801,,,,,
"Mitsui Fudosan Logistics Park, Inc.",14.3,TKS:3471,,,,,
"Mitsui High-tec, Inc.",27.9,TKS:6966,,,,,
"Mitsui Matsushima Holdings Co., Ltd.",27.9,TKS:1518,,,,,
"Mitsui Mining & Smelting Co., Ltd.",39.4,TKS:5706,,,,,
"Mitsui O.S.K. Lines, Ltd.",17.1,TKS:9104,,,,,
"MITSUI-SOKO HOLDINGS Co., Ltd.",18.7,TKS:9302,,,,,
"Mitsuuroko Group Holdings Co., Ltd.",42.8,TKS:8131,,,,,
"Miura Co., Ltd.",33.1,TKS:6005,,,,,
Mivne Real Estate (K.D) Ltd.,19.4,TAE:MVNE,,,,,
"Miwon Commercial Co., Ltd.",43.6,KRX:002840,,,,,
"Miwon Specialty Chemical Co., Ltd.",35.2,KRX:268280,,,,,
"MIXI, Inc.",24.4,TKS:2121,,,,,
Mizrahi Tefahot Bank Ltd.,18.7,TAE:MZTF,,,,,
"Mizuho Financial Group, Inc.",25.7,TKS:8411,,,,,
"Mizuho Leasing Co., Ltd.",33.0,TKS:8425,,,,,
"Mizuho Medy Co., Ltd.",38.6,TKS:4595,,,,,
Mizuno Corp.,12.0,TKS:8022,,,,,
MJ Gleeson Plc,18.8,LON:GLE,,,,,
MK Restaurant Group PCL,28.4,BKK:M,,,,,
"MKS Instruments, Inc.",11.7,NAS:MKSI,,,,,
MLP Saglik Hizmetleri AS,33.5,IST:MPARK.E,,,,,
"MLS Co., Ltd.",32.1,SHE:002745,,,,,
MMC Norilsk Nickel PJSC,44.3,MIC:GMKN,,,,,
MMG Ltd.,45.9,HKG:1208,,,,,
Mo-BRUK SA,25.5,WAR:MBR,,,,,
Moat Homes Finance Plc,26.6,-,,,,,
Moberg Pharma AB,33.8,OME:MOB,,,,,
Mobico Group Plc,17.0,LON:MCG,,,,,
Mobile Telecommunications Co. KSCP,26.3,KUW:ZAIN,,,,,
Mobile Telecommunications Co. Saudi Arabia,25.1,SAU:7030,,,,,
Mobile TeleSystems PJSC,29.9,MIC:MTSS,,,,,
Mobile World Investment Corp.,20.9,STC:MWG,,,,,
"Mobileye Global, Inc.",25.7,NAS:MBLY,,,,,
mobilezone holding ag,16.4,SWX:MOZN,,,,,
Mobimo Holding AG,14.6,SWX:MOBN,,,,,
"Mobvista, Inc.",26.6,HKG:1860,,,,,
"Mochida Pharmaceutical Co., Ltd.",29.8,TKS:4534,,,,,
"MODEC, Inc.",26.5,TKS:6269,,,,,
"Model N, Inc.",22.7,NYS:MODN,,,,,
Modern Times Group MTG AB,16.5,OME:MTG.B,,,,,
"Moderna, Inc.",21.5,NAS:MRNA,,,,,
MODETOUR NETWORK Inc.,36.8,KRX:080160,,,,,
Modine Manufacturing Co.,19.0,NYS:MOD,,,,,
"ModivCare, Inc.",22.1,NAS:MODV,,,,,
Moelis & Co.,28.6,NYS:MC,,,,,
"Mohawk Industries, Inc.",13.6,NYS:MHK,,,,,
MOL Hungarian Oil & Gas Plc,30.4,BUD:MOL,,,,,
Molex Electronic Technologies LLC,19.1,-,,,,,
"Molina Healthcare, Inc.",24.2,NYS:MOH,,,,,
Mölnlycke Health Care AB,15.4,-,,,,,
Molson Coors Beverage Co.,25.6,NYS:TAP,,,,,
Molten Ventures Plc,10.7,LON:GROW,,,,,
Moment Group AB,20.5,OME:MOMENT,,,,,
"Momentive Global, Inc.",24.2,-,,,,,
Momentum Group AB,18.1,OME:MMGR.B,,,,,
Momentum Metropolitan Holdings Ltd.,20.1,JSE:MTM,,,,,
"Momentus, Inc.",40.1,NAS:MNTS,,,,,
"momo.com, Inc.",24.0,TAI:8454,,,,,
Monadelphous Group Ltd.,27.7,ASX:MND,,,,,
"Monalisa Group Co., Ltd.",31.6,SHE:002918,,,,,
"Monarch Casino & Resort, Inc.",30.0,NAS:MCRI,,,,,
Moncler SpA,10.1,MIL:MONC,,,,,
monday.com Ltd.,18.9,NAS:MNDY,,,,,
Monde Nissin Corp.,38.8,PHS:MONDE,,,,,
"Mondelez International, Inc.",22.6,NAS:MDLZ,,,,,
Mondi Plc,13.3,LON:MNDI,,,,,
"MONETA Money Bank, a.s.",16.8,PRA:MONET,,,,,
"Monex Group, Inc.",21.1,TKS:8698,,,,,
"Money Forward, Inc.",23.8,TKS:3994,,,,,
"MoneyGram International, Inc.",25.1,-,,,,,
"MoneyLion, Inc.",24.2,NYS:ML,,,,,
Moneysupermarket.com Group Plc,19.0,LON:MONY,,,,,
"MongoDB, Inc.",18.2,NAS:MDB,,,,,
Mongolian Mining Corp.,43.4,HKG:975,,,,,
"Monolithic Power Systems, Inc.",18.9,NAS:MPWR,,,,,
Monongahela Power Co.,26.5,-,,,,,
"MonotaRO Co., Ltd.",26.8,TKS:3064,,,,,
"Monro, Inc.",13.1,NAS:MNRO,,,,,
Monster Beverage Corp.,32.4,NAS:MNST,,,,,
"Montage Technology Co., Ltd.",21.2,SHG:688008,,,,,
Montana Aerospace AG,30.2,SWX:AERO,,,,,
"Montauk Renewables, Inc.",47.0,NAS:MNTK,,,,,
"Monte Rosa Therapeutics, Inc.",29.3,NAS:GLUE,,,,,
Monte-Carlo Société des Bains de Mer SA,24.7,PAR:BAIN,,,,,
MONTEA NV,11.0,BRU:MONT,,,,,
"Montnets Cloud Technology Group Co., Ltd.",33.4,SHE:002123,,,,,
Montreal Port Authority,16.2,-,,,,,
"Montrose Environmental Group, Inc.",16.7,NYS:MEG,,,,,
Moody's Corp.,15.5,NYS:MCO,,,,,
"Moog, Inc.",40.3,NYS:MOG.A,,,,,
"Moon Environment Technology Co., Ltd.",36.2,SHE:000811,,,,,
Moonpig Group Plc,20.4,LON:MOON,,,,,
Morgan Advanced Materials Plc,29.4,LON:MGAM,,,,,
Morgan Sindall Group plc,23.8,LON:MGNS,,,,,
Morgan Stanley,24.6,NYS:MS,,,Morgan Stanley,MS,$151.36 B
Morgan Stanley & Co. International Plc,25.2,-,,,,,
Morguard Corp.,20.0,TSE:MRC,,,,,
Morguard North American Residential REIT,14.7,TSE:MRG.UT,,,,,
MORhomes Plc,17.8,-,,,,,
Mori Hills REIT Investment Corp.,12.1,TKS:3234,,,,,
"MORI TRUST REIT, Inc.",17.2,TKS:8961,,,,,
"Morimatsu International Holdings Co., Ltd.",30.7,HKG:2155,,,,,
"Morinaga & Co., Ltd.",22.8,TKS:2201,,,,,
"Morinaga Milk Industry Co., Ltd.",22.9,TKS:2264,,,,,
"Moriroku Holdings Co., Ltd.",38.9,TKS:4249,,,,,
MORITA HOLDINGS CORP.,32.1,TKS:6455,,,,,
"Morphic Holding, Inc.",27.0,NAS:MORF,,,,,
MorphoSys AG,28.3,ETR:MOR,,,,,
"MOS FOOD SERVICES, INC.",30.4,TKS:8153,,,,,
Moscow Exchange MICEX-RTS PJSC,25.5,MIC:MOEX,,,,,
Mota-Engil SGPS SA,39.7,LIS:EGL,,,,,
Motability Operations Group Plc,14.4,-,,,,,
"Motech Industries, Inc.",38.4,ROCO:6244,,,,,
Motherson Sumi Wiring India Ltd.,17.2,BOM:543498,,,,,
Motilal Oswal Financial Services Ltd.,31.7,BOM:532892,,,,,
Motiva Enterprises LLC,32.0,-,,,,,
Motor Oil (Hellas) Corinth Refineries SA,37.1,ATH:MOH,,,,,
"Motorcar Parts of America, Inc.",18.7,NAS:MPAA,,,,,
"Motorola Solutions, Inc.",13.2,NYS:MSI,,,,,
Motorpoint Group Plc,14.1,LON:MOTR,,,,,
Motus Holdings Ltd. (South Africa),20.3,JSE:MTH,,,,,
Mount Gibson Iron Ltd.,30.9,ASX:MGX,,,,,
Mouwasat Medical Services Co.,36.4,SAU:4002,,,,,
"Movado Group, Inc.",13.1,NYS:MOV,,,,,
Movida Participaçoes SA,15.6,BSP:MOVI3,,,,,
Movius Interactive Corp.,17.9,-,,,,,
Mowi ASA,22.7,OSL:MOWI,,,,,
MP Materials Corp.,53.8,NYS:MP,,,,,
MPC Container Ships ASA,26.3,OSL:MPCC,,,,,
Mphasis Ltd.,19.2,BOM:526299,,,,,
MPLX LP,28.6,NYS:MPLX,,,,,
"Mr. Cooper Group, Inc.",33.9,NAS:COOP,,,,,
MR. D.I.Y. Group (M) Bhd.,28.7,KLS:5296,,,,,
Mr. Price Group Ltd.,13.0,JSE:MRP,,,,,
"MRC Global, Inc.",22.5,NYS:MRC,,,,,
MRF Ltd.,22.1,BOM:500290,,,,,
Mrs. Bector's Food Specialities Ltd.,42.4,BOM:543253,,,,,
MRV Engenharia e Participaçoes SA,13.5,BSP:MRVE3,,,,,
"MS&AD Insurance Group Holdings, Inc.",25.7,TKS:8725,,,,,
"MSA Safety, Inc.",19.1,NYS:MSA,,,,,
"MSC Industrial Direct Co., Inc.",17.1,NYS:MSM,,,,,
"MSCI, Inc.",15.6,NYS:MSCI,,,,,
MSU Energy SA,23.4,-,,,,,
MTAR Technologies Ltd.,31.6,BOM:543270,,,,,
MTI Ltd.,23.9,TKS:9438,,,,,
MTN Group Ltd.,21.7,JSE:MTN,,,,,
MTR Corp. Ltd.,19.8,HKG:66,,,,,
MTU Aero Engines AG,27.1,ETR:MTX,,,,,
"MTY Food Group, Inc.",35.0,TSE:MTY,,,,,
Muang Thai Life Assurance Public Co. Ltd.,25.9,-,,,,,
Muangthai Capital Public Co. Ltd.,19.6,BKK:MTC,,,,,
"Mueller Industries, Inc.",25.2,NYS:MLI,,,,,
"Mueller Water Products, Inc.",30.2,NYS:MWA,,,,,
"Mullen Automotive, Inc.",30.3,NAS:MULN,,,,,
Mullen Group Ltd.,18.6,TSE:MTL,,,,,
Multi Commodity Exchange of India Ltd.,20.5,BOM:534091,,,,,
"Multibank, Inc.",30.0,-,,,,,
MultiChoice Group Ltd.,16.0,JSE:MCG,,,,,
Multilaser Industrial SA,18.8,BSP:MLAS3,,,,,
MultiPlan Corp.,31.1,NYS:MPLN,,,,,
Multiplan Empreendimentos Imobiliários SA,16.5,BSP:MULT3,,,,,
Multiply Group PJSC,15.8,ADS:MULTIPLY,,,,,
Multiversity SpA,7.8,-,,,,,
Münchener Hypothekenbank eG,15.3,-,,,,,
Münchener Rückversicherungs-Gesellschaft AG,15.1,ETR:MUV2,,,,,
Mundys SpA,8.2,-,,,,,
Municipal Finance Authority of British Columbia,31.4,-,,,,,
Munters Group AB,24.9,OME:MTRS,,,Munters Group AB,MTRS.ST,$2.96 B
Murata Manufacturing Co. Ltd.,14.3,TKS:6981,,,,,
Murphy Oil Corp.,32.1,NYS:MUR,,,,,
"Murphy USA, Inc.",13.0,NYS:MUSA,,,,,
"Musashi Seimitsu Industry Co., Ltd.",15.6,TKS:7220,,,,,
Muskrat Falls/Labrador Transmission Assets Funding Trust,36.0,-,,,,,
Musti Group Oyj,15.7,HEL:MUSTI,,,,,
Muthoot Finance Ltd.,25.3,BOM:533398,,,,,
Mutuelle Assurance Commerçants et Industriels France SAM,26.7,-,,,,,
"Muyuan Foods Co., Ltd.",47.4,SHE:002714,,,,,
MVB Financial Corp.,31.8,NAS:MVBF,,,,,
MVM Energetika Zrt.,41.4,-,,,,,
My E.G. Services Bhd.,20.2,KLS:0138,,,,,
My Money Bank SA,28.4,-,,,,,
Mycronic AB,10.8,OME:MYCR,,,,,
Myer Holdings Ltd.,18.4,ASX:MYR,,,,,
"Myers Industries, Inc.",20.4,NYS:MYE,,,,,
"Myoung Shin Industry Co., Ltd. (North Gyeongsang)",28.3,KRX:009900,,,,,
Myovant Sciences Ltd.,24.6,-,,,,,
"MYR Group, Inc.",30.4,NAS:MYRG,,,,,
"Myriad Genetics, Inc.",23.9,NAS:MYGN,,,,,
mySafety Group AB,29.9,OME:SAFETY.B,,,,,
MyState Ltd.,31.7,ASX:MYS,,,,,
MYT Netherlands Parent BV,25.6,NYS:MYTE,,,,,
Mytilineos SA,18.7,ATH:MYTIL,,,,,
"N-able, Inc.",22.7,NYS:NABL,,,,,
Nabors Industries Ltd.,27.3,NYS:NBR,,,,,
Nabtesco Corp.,19.6,TKS:6268,,,,,
"NACCO Industries, Inc.",49.5,NYS:NC,,,,,
Nachi-Fujikoshi Corp.,34.8,TKS:6474,,,,,
"NAFCO Co., Ltd.",19.4,TKS:2790,,,,,
NagaCorp Ltd.,28.3,HKG:3918,,,,,
"Nagaileben Co., Ltd.",21.8,TKS:7447,,,,,
Nagarro SE,24.4,ETR:NA9,,,,,
"Nagase & Co., Ltd.",24.0,TKS:8012,,,,,
"Nagatanien Holdings Co., Ltd.",44.3,TKS:2899,,,,,
"Nagawa Co., Ltd.",24.8,TKS:9663,,,,,
"Nagoya Railroad Co., Ltd.",32.7,TKS:9048,,,,,
Nahdi Medical Co.,20.2,SAU:4164,,,,,
Najran Cement Co.,40.3,SAU:3002,,,,,
