company,esg_rating,stock_name
Kaman Corp.,19.2,NYS:KAMN
Kambi Group Plc,29.3,OME:KAMBI
"Kameda Seika Co., Ltd.",38.2,TKS:2220
Kamei Corp.,30.5,TKS:8037
"Kamigumi Co., Ltd.",18.3,TKS:9364
Kanaden Corp.,27.1,TKS:8081
"Kanagawa Chuo Kotsu Co., Ltd.",24.7,TKS:9081
"Kanamic Network Co., LTD.",25.0,TKS:3939
"Kanamoto Co., Ltd.",24.3,TKS:9678
"Kandenko Co., Ltd.",37.2,TKS:1942
Kaneka Corp.,29.6,TKS:4118
Kanematsu Corp.,22.7,TKS:8020
Kanematsu Electronics Ltd.,21.0,-
Kangji Medical Holdings Ltd.,25.2,HKG:9997
"Kangwon Land, Inc.",28.0,KRX:035250
Kansai Food Market Ltd.,27.1,TKS:9919
Kansai Nerolac Paints Ltd.,16.5,BOM:500165
"Kansai Paint Co., Ltd.",30.1,TKS:4613
"Kanto Denka Kogyo Co., Ltd.",35.0,TKS:4047
Kanzhun Ltd.,22.3,HKG:2076
Kao Corp.,18.0,TKS:4452
KAP Ltd.,38.0,JSE:KAP
Kape Technologies Plc,22.5,-
"Kappa Create Co., Ltd.",36.7,TKS:7421
"Karat Packaging, Inc.",25.1,NAS:KRT
Karbon Homes Ltd.,18.9,-
Kardemir Karabük Demir Çelik Sanayi ve Ticaret AS,34.0,IST:KRDMD.E
Kardex Holding AG,23.1,SWX:KARN
Karnataka Bank Ltd.,25.4,BOM:532652
Karnov Group AB,19.2,OME:KAR
Karolinska Development AB,37.9,OME:KDEV
Karoon Energy Ltd.,40.2,ASX:KAR
"Karora Resources, Inc.",45.5,TSE:KRR
Kartonsan Karton Sanayi ve Ticaret AS,19.5,IST:KARTN.E
"Karuna Therapeutics, Inc.",33.2,NAS:KRTX
Karur Vysya Bank Ltd.,28.0,BOM:590003
"Karyopharm Therapeutics, Inc.",24.4,NAS:KPTI
Kasikornbank Public Co. Ltd.,20.9,BKK:KBANK
Kaspi.kz JSC,36.0,KAZ:KSPI
"Katakura Industries Co., Ltd.",45.7,TKS:3001
"KATITAS Co., Ltd.",21.6,TKS:8919
"Kato Sangyo Co., Ltd.",19.2,TKS:9869
Kaufman & Broad SA,17.8,PAR:KOF
Kaveri Seed Co. Ltd.,40.1,BOM:532899
"Kawada Technologies, Inc.",44.6,TKS:3443
Kawasaki Heavy Industries Ltd.,39.5,TKS:7012
"Kawasaki Kisen Kaisha, Ltd.",20.3,TKS:9107
"KB Capital Co., Ltd.",25.7,-
"KB Financial Group, Inc.",26.6,KRX:105560
KB Home,14.2,NYS:KBH
"KB Kookmin Card Co., Ltd.",18.8,-
"KB Securities Co., Ltd",22.0,-
KBC Ancora SCA,16.7,BRU:KBCA
KBC Corp. Ltd.,29.0,SHG:688598
KBC Group NV,9.8,BRU:KBC
"KBR, Inc.",19.3,NYS:KBR
"KC Co., Ltd. (South Korea)",23.0,KRX:029460
KCC Corp.,27.2,KRX:002380
KCC Glass Corp.,24.8,KRX:344820
"KCE Electronics Public Co., Ltd.",18.9,BKK:KCE
"KCTech Co., Ltd.",20.0,KRX:281820
KDDI Corp.,21.7,TKS:9433
KDX Realty Investment Corporation,14.4,TKS:8972
"KE Holdings, Inc.",23.3,HKG:2423
Kearny Financial Corp.,31.7,NAS:KRNY
KEB Hana Bank,22.3,-
"Keboda Technology Co., Ltd.",21.7,SHG:603786
KEC International Ltd.,36.2,BOM:532714
"Keda Industrial Group Co., Ltd.",36.6,SHG:600499
"Kee Tai Properties Co., Ltd.",24.2,TAI:2538
"KeePer Technical Laboratory Co., Ltd.",40.7,TKS:6036
"Kehua Data Co., Ltd.",17.4,SHE:002335
KEI Industries Ltd.,22.3,BOM:517569
"Keihan Holdings Co., Ltd.",50.9,TKS:9045
"Keihanshin Building Co., Ltd.",14.2,TKS:8818
Keikyu Corp.,31.5,TKS:9006
Keio Corp.,30.0,TKS:9008
"Keisei Electric Railway Co., Ltd.",31.0,TKS:9009
"Keiyo Co., Ltd.",18.7,TKS:8168
Kellanova,27.3,NYS:K
Keller Group Plc,33.3,LON:KLR
"Kelly Services, Inc.",10.3,NAS:KELYA
Kelsian Group Ltd.,14.5,ASX:KLS
"Kelso Technologies, Inc.",30.0,TSE:KLS
Kelt Exploration Ltd.,50.5,TSE:KEL
Kemira Oyj,27.2,HEL:KEMIRA
Kemper Corp.,30.0,NYS:KMPR
Kempower Oyj,16.1,HEL:KEMPOWR
"Kenda Rubber Industrial Co., Ltd.",18.6,TAI:2106
Kenedix Residential Next Investment Corp.,15.2,-
Kenedix Retail REIT Corp.,16.4,-
"KENKO Mayonnaise Co., Ltd.",43.1,TKS:2915
Kenmare Resources Plc,25.2,LON:KMR
"Kennametal, Inc.",22.0,NYS:KMT
"Kennedy-Wilson Holdings, Inc.",15.7,NYS:KW
Kenon Holdings Ltd.,54.1,NYS:KEN
Kentucky Utilities Co.,31.3,-
"KEPCO Engineering & Construction Co., Inc.",29.7,KRX:052690
"KEPCO Plant Service & Engineering Co., Ltd.",18.4,KRX:051600
Kepler Weber SA,40.3,BSP:KEPL3
Keppel Corp. Ltd.,35.3,SES:BN4
Keppel DC REIT,12.2,SES:AJBU
Keppel Infrastructure Trust,34.6,SES:A7RU
Keppel Pacific Oak US REIT,8.7,SES:CMOU
Keppel REIT,8.7,SES:K71U
Kerevitas Gida Sanayi  ve Ticaret AS,25.2,IST:KERVT.E
Kering SA,10.6,PAR:KER
Kernel Holding SA,44.0,WAR:KER
"Keros Therapeutics, Inc.",28.0,NAS:KROS
Kerry Express (Thailand) Public Co. Ltd.,16.8,BKK:KEX
Kerry Group Plc,24.6,DUB:KRZ
Kerry Logistics Network Ltd.,20.1,HKG:636
Kerry Properties Ltd.,11.6,HKG:683
"Kerry TJ Logistics Co., Ltd.",20.6,TAI:2608
Kervan Gida Sanayi ve Ticaret AS,44.5,IST:KRVGD.E
"Keshun Waterproof Technologies Co., Ltd.",31.4,SHE:300737
Kesko Oyj,14.8,HEL:KESKOB
"Keurig Dr Pepper, Inc.",24.5,NAS:KDP
Kewal Kiran Clothing Ltd.,18.4,BOM:532732
Kewpie Corp.,30.9,TKS:2809
"Key Coffee, Inc.",40.4,TKS:2594
Keybank National Association,26.5,-
KeyCorp,21.4,NYS:KEY
KEYENCE Corp.,13.8,TKS:6861
Keyera Corp.,22.4,TSE:KEY
"Keymed Biosciences, Inc.",27.8,HKG:2162
"Keysight Technologies, Inc.",7.6,NYS:KEYS
KeySpan Gas East Corp.,19.6,-
Keywords Studios Plc,17.8,LON:KWS
"Kezar Life Sciences, Inc.",25.3,NAS:KZR
KFC Holdings Japan Ltd.,31.0,TKS:9873
"Kforce, Inc.",8.7,NAS:KFRC
KfW,6.3,-
"KG DongbuSteel Co., Ltd.",37.1,KRX:016380
"KG ETS Co., Ltd.",30.1,KRX:151860
KGHM Polska Miedz SA,33.1,WAR:KGH
"KH Neochem Co., Ltd.",27.4,TKS:4189
KH Vatec Co. Ltd.,27.4,KRX:060720
Khon Kaen Sugar Industry Public Co. Ltd.,41.1,BKK:KSL
"KI-Star Real Estate Co., Ltd.",25.0,TKS:3465
Kia Corp.,24.5,KRX:000270
Kiatnakin Phatra Bank Public Co. Ltd.,28.5,BKK:KKP
Kid ASA,13.0,OSL:KID
Kier Group Plc,23.6,LON:KIE
Kikkoman Corp.,34.2,TKS:2801
Killam Apartment REIT,12.5,TSE:KMP.UT
Kilroy Realty Corp.,13.3,NYS:KRC
"Kimball Electronics, Inc.",4.5,NAS:KE
"Kimball International, Inc.",7.3,-
Kimbell Royalty Partners LP,42.6,NYS:KRP
Kimberly-Clark Corp.,28.5,NYS:KMB
Kimberly-Clark de México SAB de CV,25.2,MEX:KIMBERA
Kimco Realty Corp.,10.9,NYS:KIM
Kin + Carta Plc,19.4,LON:KCT
"Kinaxis, Inc.",11.7,TSE:KXS
Kinden Corp.,38.5,TKS:1944
Kinder Morgan Energy Partners LP,23.3,-
"Kinder Morgan, Inc.",19.0,NYS:KMI
"Kindom Development Co., Ltd.",16.1,TAI:2520
Kindred Group Plc,21.7,OME:KIND
Kinepolis Group NV,18.0,BRU:KIN
Kinetic Development Group Ltd.,47.1,HKG:1277
"King Slide Works Co., Ltd.",20.7,TAI:2059
"King Yuan Electronics Co., Ltd.",32.0,TAI:2449
King's Town Bank,19.4,TAI:2809
"King's Town Construction Co., Ltd.",20.9,TAI:2524
Kingboard Holdings Ltd.,34.6,HKG:148
Kingboard Laminates Holdings Ltd.,35.6,HKG:1888
"KingClean Electric Co., Ltd.",31.5,SHG:603355
"Kingdee International Software Group Co., Ltd.",20.5,HKG:268
"Kingfa Sci. & Tech. Co., Ltd.",32.0,SHG:600143
Kingfisher plc,10.5,LON:KGF
Kingkey Financial International (Holdings) Ltd.,41.3,HKG:1468
"Kingnet Network Co., Ltd.",16.9,SHE:002517
Kingsoft Cloud Holdings Ltd.,26.9,HKG:3896
Kingsoft Corp. Ltd.,24.3,HKG:3888
Kingspan Group Plc,18.2,DUB:KRX
Kinik Co.,33.2,TAI:1560
Kiniksa Pharmaceuticals Ltd.,29.8,NAS:KNSA
"Kinnate Biopharma, Inc.",32.1,NAS:KNTE
Kinnevik AB,9.6,OME:KINV.B
"Kinpo Electronics, Inc.",27.1,TAI:2312
Kinross Gold Corp.,26.5,TSE:K
"Kinsale Capital Group, Inc.",28.4,NYS:KNSL
Kinsus Interconnect Technology Corp.,32.9,TAI:3189
Kintetsu Department Store Co. Ltd.,23.5,TKS:8244
"Kintetsu Group Holdings Co., Ltd.",49.9,TKS:9041
Kintor Pharmaceutical Ltd.,27.6,HKG:9939
KION GROUP AG,20.1,ETR:KGX
Kirby Corp.,22.3,NYS:KEX
"Kirin Holdings Co., Ltd.",21.3,TKS:2503
Kirloskar Brothers Ltd.,21.0,BOM:500241
Kirloskar Industries Ltd.,42.7,BOM:500243
Kirloskar Oil Engines Ltd.,22.8,BOM:533293
KISCO Corp.,47.8,KRX:104700
"KISOJI CO., LTD.",35.6,TKS:8160
"Kissei Pharmaceutical Co., Ltd.",33.4,TKS:4547
KISWIRE Ltd.,47.3,KRX:002240
Kitanotatsujin Corp.,30.7,TKS:2930
Kite Realty Group Trust,10.9,NYS:KRG
Kitex Garments Ltd.,16.5,BOM:521248
Kitron ASA,9.7,OSL:KIT
KITZ Corp.,25.9,TKS:6498
Kiwi Property Group Ltd.,12.7,NZE:KPG
"KIWOOM Securities Co., Ltd.",34.3,KRX:039490
Kizilbük Gayrimenkul Yatirim Ortakligi AS,23.9,IST:KZBGY.E
"KKR & Co., Inc.",22.0,NYS:KKR
"KKR Group Co., Inc.",22.7,-
KKR Real Estate Finance Trust Inc.,17.8,NYS:KREF
KLA Corp.,17.2,NAS:KLAC
"KLab, Inc.",20.6,TKS:3656
Klabin SA,13.3,BSP:KLBN4
KlaraBo Sverige AB,21.4,OME:KLARA.B
KLCC Property Holdings Bhd.,12.2,KLS:5235SS
Kleopatra Holdings 2 SCA,10.9,-
Klépierre SA,9.3,PAR:LI
Klöckner & Co. SE,21.4,ETR:KCO
"KLX Energy Services Holdings, Inc.",38.3,NAS:KLXE
"KMC (Kuei Meng) International, Inc.",11.4,TAI:5306
KMD Brands Ltd.,15.8,NZE:KMD
"KMW, Inc.",18.1,KRX:032500
Knaus Tabbert AG,20.6,ETR:KTA
"Knight Therapeutics, Inc.",36.5,TSE:GUD
"Knight-Swift Transportation Holdings, Inc.",18.3,NYS:KNX
Knorr-Bremse AG,13.8,ETR:KBX
Knowit AB,15.2,OME:KNOW
Knowles Corp.,17.6,NYS:KN
KNR Constructions Ltd.,42.8,BOM:532942
KNT-CT Holdings Co. Ltd.,33.0,TKS:9726
Koa Corp.,23.2,TKS:6999
"Koatsu Gas Kogyo Co., Ltd.",35.5,TKS:4097
"Kobayashi Pharmaceutical Co., Ltd.",34.8,TKS:4967
"Kobe Bussan Co., Ltd.",32.1,TKS:3038
"Kobe Steel, Ltd.",41.0,TKS:5406
Koç Holding A.S.,40.7,IST:KCHOL.E
"Kodiak Sciences, Inc.",27.2,NAS:KOD
"Koei Tecmo Holdings Co., Ltd.",17.3,TKS:3635
Kogan.com Ltd.,23.1,ASX:KGN
"Koh Young Technology, Inc.",20.1,KRX:098460
Kohl's Corp.,18.6,NYS:KSS
"Kohnan Shoji Co., Ltd.",22.0,TKS:7516
"Koito Manufacturing Co., Ltd.",22.5,TKS:7276
Kojamo Oyj,14.5,HEL:KOJAMO
"Kojima Co., Ltd.",20.4,TKS:7513
"KOKUYO CO., LTD.",8.7,TKS:7984
"Kolmar Korea Co., Ltd.",30.3,KRX:161890
"Kolmar Korea Holdings Co., Ltd.",32.1,KRX:024720
"KolmarBNH Co., Ltd.",34.6,KRX:200130
Kolon Corp.,38.2,KRX:002020
"Kolon Industries, Inc.",26.9,KRX:120110
Komatsu Ltd.,23.7,TKS:6301
"KOMATSU MATERE Co., Ltd.",23.4,TKS:3580
Komax Holding AG,30.0,SWX:KOMN
"KOMEDA Holdings Co., Ltd.",28.4,TKS:3543
Komercní banka as,22.3,PRA:KOMB
"KOMERI CO., LTD.",19.9,TKS:8218
KoMiCo Ltd.,26.0,KRX:183300
"Komipharm International Co., Ltd.",41.4,KRX:041960
Kommunalbanken AS (Norway),11.0,-
KommuneKredit,14.8,-
Kommuninvest i Sverige AB,13.1,-
Komori Corp.,34.4,TKS:6349
KONAMI Group Corp.,19.3,TKS:9766
Kone Oyj,16.6,HEL:KNEBV
Konecranes Oyj,14.1,HEL:KCR
"Konfoong Materials International Co., Ltd.",27.4,SHE:300666
Kongsberg Automotive ASA,18.4,OSL:KOA
Kongsberg Gruppen ASA,23.2,OSL:KOG
"Konica Minolta, Inc.",16.0,TKS:4902
Koninklijke Ahold Delhaize NV,26.2,AMS:AD
Koninklijke BAM Groep NV,17.7,AMS:BAMNB
Koninklijke DSM NV,20.0,-
Koninklijke Heijmans NV,29.0,AMS:HEIJM
Koninklijke Philips NV,22.7,AMS:PHIA
"Konishi Co., Ltd.",33.5,TKS:4956
"Konka Group Co., Ltd.",30.7,SHE:000016
"Konoike Transport Co., Ltd.",22.9,TKS:9025
"Kontoor Brands, Inc.",14.8,NYS:KTB
Kontron AG,19.3,ETR:KTN
Konya Çimento Sanayii AS,46.6,IST:KONYA.E
"Koppers Holdings, Inc.",25.2,NYS:KOP
Kordsa Teknik Tekstil AS,12.7,IST:KORDS.E
"KORE Group Holdings, Inc.",32.0,NYS:KORE
KOREA AEROSPACE INDUSTRIES Ltd.,44.8,KRX:047810
"Korea Asset In Trust Co., Ltd.",19.2,KRX:123890
Korea Development Bank,15.7,-
"Korea East-West Power Co., Ltd.",33.2,-
Korea Electric Power Corp.,33.4,KRX:015760
"Korea Electric Power Industrial Development Co., Ltd.",52.3,KRX:130660
"KOREA ELECTRIC TERMINAL Co., Ltd.",29.1,KRX:025540
"Korea Environment Technology Co., Ltd.",28.1,KRX:029960
Korea Expressway Corp.,34.2,-
Korea Gas Corp.,29.1,KRX:036460
Korea Housing Finance Corp.,23.0,-
"Korea Hydro & Nuclear Power Co., Ltd.",35.2,-
"Korea Investment & Securities Co., Ltd.",17.3,KRX:570068
"Korea Investment Holdings Co., Ltd.",29.9,KRX:071050
Korea Line Corp.,29.0,KRX:005880
"Korea Midland Power Co., Ltd.",39.0,-
Korea National Oil Corp.,41.8,-
"KOREA PETROCHEMICAL IND Co., Ltd.",25.2,KRX:006650
"Korea Real Estate Investment Trust Co., Ltd.",21.3,KRX:034830
Korea Resources Corp. (South Korea),45.0,-
Korea SMEs & Startups Agency,12.7,-
"Korea South-East Power Co., Ltd.",32.0,-
"Korea Southern Power Co., Ltd.",31.7,-
"KOREA UNITED PHARM, Inc.",32.8,KRX:033270
"Korea Western Power Co., Ltd.",32.7,-
"Korea Zinc Co., Ltd.",44.4,KRX:010130
"Korean Air Lines Co., Ltd.",23.0,KRX:003490
Korean Reinsurance Co.,37.2,KRX:003690
Korn Ferry,8.3,NYS:KFY
Kornit Digital Ltd.,24.1,NAS:KRNT
"KOSAIDO Holdings Co., Ltd.",10.7,TKS:7868
KOSÉ Corp.,28.6,TKS:4922
"Koshidaka Holdings Co., Ltd.",35.1,TKS:2157
Kosmos Energy Ltd.,28.3,NYS:KOS
Kossan Rubber Industries Bhd.,14.6,KLS:7153
Kotak Mahindra Bank Ltd.,18.8,BOM:500247
"Kotobuki Spirits Co., Ltd.",39.1,TKS:2222
Kourakuen Holdings Corp.,37.5,TKS:7554
Kowloon Development Co. Ltd.,17.1,HKG:34
Koza Altin Isletmeleri AS,53.7,IST:KOZAL.E
Koza Anadolu Metal Madencilik Isletmeleri AS,47.8,IST:KOZAA.E
"KPC Pharmaceuticals, Inc.",33.3,SHG:600422
KPIT Technologies Ltd.,18.8,BOM:542651
KPJ Healthcare Bhd.,27.5,KLS:5878
"KPP Group Holdings Co., Ltd.",26.0,TKS:9274
"KRAFTON, Inc",17.5,KRX:259960
"Kratos Defense & Security Solutions, Inc.",43.2,NAS:KTOS
KRBL Ltd.,34.3,BOM:530813
Krishna Institute of Medical Sciences Ltd.,32.3,BOM:543308
"Krispy Kreme, Inc.",19.0,NAS:DNUT
Krones AG,29.9,ETR:KRN
"Kronos Bio, Inc.",34.6,NAS:KRON
"Kronos Worldwide, Inc.",24.8,NYS:KRO
Krosaki Harima Corp.,41.6,TKS:5352
Kruger Packaging Holdings LP,19.3,-
KRUK SA,21.6,WAR:KRU
"Krung Thai Bank Public Co., Ltd.",27.6,BKK:KTB
KrungThai Card Public Co. Ltd.,15.1,BKK:KTC
"Krystal Biotech, Inc.",32.1,NAS:KRYS
KSA Sukuk Ltd.,35.1,-
KSB Ltd.,27.3,BOM:500249
KSB SE & Co. KGaA,29.0,ETR:KSB
KT Corp.,26.4,KRX:030200
"KT Skylife Co., Ltd.",20.4,KRX:053210
KT&G Corp.,27.2,KRX:033780
Kuaishou Technology,27.3,HKG:1024
Kuala Lumpur Kepong Bhd.,36.1,KLS:2445
"Kuang-Chi Technologies Co., Ltd.",31.1,SHE:002625
Kubota Corp.,20.7,TKS:6326
Kühne + Nagel International AG,15.0,SWX:KNIN
"Kulicke & Soffa Industries, Inc.",14.4,NAS:KLIC
"Kumagai Gumi Co., Ltd.",32.5,TKS:1861
Kumba Iron Ore Ltd.,21.1,JSE:KIO
"KUMHO Engineering & Construction Co., Ltd.",39.6,KRX:002990
"Kumho Petrochemical Co., Ltd.",33.4,KRX:011780
"KUMHO TIRE Co., Inc.",20.6,KRX:073240
"Kumiai Chemical Industry Co., Ltd.",42.6,TKS:4996
"Kung Long Batteries Industrial Co., Ltd.",25.2,TAI:1537
KunLun Energy Co. Ltd.,27.4,HKG:135
"Kunlun Tech Co., Ltd.",17.6,SHE:300418
Kuntarahoitus Oyj,9.4,-
"Kuo Toong International Co., Ltd.",40.1,ROCO:8936
"Kuo Yang Construction Co., Ltd.",16.8,TAI:2505
"Kura Oncology, Inc.",25.0,NAS:KURA
"Kura Sushi USA, Inc.",33.5,NAS:KRUS
"Kura Sushi, Inc.",33.5,TKS:2695
KURABO INDUSTRIES LTD.,35.9,TKS:3106
"Kuraray Co., Ltd.",29.9,TKS:3405
Kureha Corp.,30.0,TKS:4023
Kurimoto Ltd.,38.6,TKS:5602
Kurita Water Industries Ltd.,24.0,TKS:6370
"Kusuri No Aoki Holdings Co., Ltd.",22.1,TKS:3549
Kutxabank SA,9.5,-
Kuveyt Türk Katilim Bankasi AS,29.4,-
Kuwait Cement Co. KPSC,47.9,KUW:KCEM
Kuwait Finance House KSC,25.1,KUW:KFH
Kuwait International Bank KSC,37.4,KUW:KIB
Kuwait Projects Co. (Holding) KSC,18.1,KUW:KPROJ
Kuwait Telecommunications Co.,26.8,KUW:STC
"KVH Industries, Inc. (Delaware)",20.0,NAS:KVHI
Kvika banki hf,29.2,ICE:KVIKA
Kvutzat Acro Ltd.,25.2,TAE:ACRO
"Kwang Dong Pharmaceutical Co., Ltd.",42.5,KRX:009290
"Kweichow Moutai Co., Ltd.",30.3,SHG:600519
KWG Group Holdings Ltd.,23.5,HKG:1813
KWG Living Group Holdings Ltd.,11.3,HKG:3913
KWS SAAT SE & Co. KGaA,36.4,ETR:KWS
KYB Corp.,19.9,TKS:7242
"Kymera Therapeutics, Inc.",27.5,NAS:KYMR
"Kyndryl Holdings, Inc.",22.3,NYS:KD
"Kyobo Life Insurance Co., Ltd.",20.9,-
Kyocera Corp.,20.6,TKS:6971
"Kyodo Printing Co., Ltd.",9.3,TKS:7914
Kyoei Steel Ltd.,43.0,TKS:5440
"Kyokuto Kaihatsu Kogyo Co., Ltd.",24.3,TKS:7226
"Kyokuto Securities Co., Ltd.",32.4,TKS:8706
"Kyokuyo Co., Ltd.",35.6,TKS:1301
"KYORIN Pharmaceutical Co., Ltd.",34.5,TKS:4569
"Kyoritsu Maintenance Co., Ltd.",33.3,TKS:9616
"Kyosan Electric Manufacturing Co., Ltd.",23.0,TKS:6742
"Kyowa Kirin Co., Ltd.",24.2,TKS:4151
Kyudenko Corp.,33.8,TKS:1959
"Kyung Dong Navien Co., Ltd.",34.6,KRX:009450
"KyungDong Invest Co., Ltd.",46.1,KRX:012320
"Kyushu Electric Power Co., Inc.",40.6,TKS:9508
"Kyushu Financial Group, Inc.",27.6,TKS:7180
Kyushu Railway Co.,27.6,TKS:9142
L.K. Technology Holdings Ltd.,24.8,HKG:558
"L.P.N. Development Public Co., Ltd.",19.4,BKK:LPN
L'Occitane International SA,14.1,HKG:973
L'Oréal SA,20.1,PAR:OR
"L&C BIO Co., Ltd.",33.6,KRX:290650
"L&F Co., Ltd.",46.1,KRX:066970
"L&K Engineering Co., Ltd.",43.4,TAI:6139
L&T Finance Holdings Ltd.,16.5,BOM:533519
L&T Technology Services Ltd.,16.8,BOM:540115
"L3Harris Technologies, Inc.",21.1,NYS:LHX
La Banque Postale Home Loan SFH SA,34.9,-
La Banque Postale SA,9.1,-
La Caisse de Refinancement de l'Habitat SA,30.8,-
La Comer SAB de CV,30.8,MEX:LACOMERUBC
La Corporación Andina de Fomento SA,10.9,-
La Française des Jeux SA,16.8,PAR:FDJ
La Opala RG Ltd.,15.4,BOM:526947
La Poste SA,14.0,-
"La-Z-Boy, Inc.",13.2,NYS:LZB
Laboratorios Farmaceúticos Rovi SA,16.4,MCE:ROVI
Laboratory Corp. of America Holdings,19.7,NYS:LH
Labrador Iron Ore Royalty Corp.,14.6,TSE:LIF
Labrador-Island Link Funding Trust,28.3,-
Ladder Capital Corp.,17.9,NYS:LADR
Lagardère SA,16.5,PAR:MMB
Lagercrantz Group AB,28.0,OME:LAGR.B
Lai Sun MTN Ltd.,17.0,-
"Lakala Payment Co., Ltd.",24.5,SHE:300773
"Lakeland Bancorp, Inc.",30.5,NAS:LBAI
Lakeland Financial Corp. (Indiana),29.1,NAS:LKFN
Lakshmi Machine Works Ltd.,28.4,BOM:500252
Lam Research Corp.,13.6,NAS:LRCX
Lamar Advertising Co.,17.3,NAS:LAMR
"Lamb Weston Holdings, Inc.",25.9,NYS:LW
LAMDA Development SA,20.3,ATH:LAMDA
Lammhults Design Group AB,10.1,OME:LAMM.B
Lancashire Holdings Ltd.,27.6,LON:LRE
Lancaster Colony Corp.,28.6,NAS:LANC
"Lancy Co., Ltd.",16.5,SHE:002612
"Land & Houses Public Co., Ltd.",20.8,BKK:LH
Land Saarland,24.2,-
Land Securities Group Plc,9.2,LON:LAND
Landesbank Baden-Württemberg,18.7,-
Landesbank Hessen-Thüringen Girozentrale,19.1,-
Landeskreditbank Baden-Württemberg -Förderbank-,10.7,-
Landis+Gyr Group AG,7.4,SWX:LAND
Landmark Funding 2020 Ltd.,36.0,-
LandMark Optoelectronics Corp.,27.7,ROCO:3081
"Lands' End, Inc.",28.6,NAS:LE
Landsbankinn hf,8.5,-
Landsea Homes Corp.,19.7,NAS:LSEA
"Landstar System, Inc.",19.7,NAS:LSTR
Landwirtschaftliche Rentenbank,9.1,-
Länsförsäkringar Bank AB,21.7,-
Länsförsäkringar Hypotek AB,27.0,-
"Lantheus Holdings, Inc.",31.2,NAS:LNTH
Lanxess AG,21.4,ETR:LXS
"Lao Feng Xiang Co., Ltd.",22.2,SHG:600612
Lapidoth Capital Ltd.,37.8,TAE:LAPD
Lar España Real Estate SOCIMI SA,11.6,MCE:LRE
"LARGAN Precision Co., Ltd.",19.5,TAI:3008
Largo Inc.,32.0,TSE:LGO
Larsen & Toubro Ltd.,32.7,BOM:500510
Las Vegas Sands Corp.,22.0,NYS:LVS
LaSalle LOGIPORT REIT,13.2,TKS:3466
Lasertec Corp.,22.6,TKS:6920
Lassila & Tikanoja Oyj,11.9,HEL:LAT1V
"Lassonde Industries, Inc.",40.4,TSE:LAS.A
LATAM Airlines Group SA,27.3,SGO:LTM
"Latch, Inc.",21.1,OTC:LTCH
Latent View Analytics Ltd.,22.6,BOM:543398
"Latham Group, Inc.",34.8,NAS:SWIM
Latitude Group Holdings Ltd.,27.0,ASX:LFS
Lattice Semiconductor Corp.,18.7,NAS:LSCC
"Laureate Education, Inc.",18.9,NAS:LAUR
Laurentian Bank of Canada,17.8,TSE:LB
Laurus Labs Ltd.,36.8,BOM:540222
"Lawson, Inc.",26.3,TKS:2651
Laxmi Organic Industries Ltd.,29.4,BOM:543277
Lazard Ltd.,22.5,NYS:LAZ
"LB Group Co., Ltd.",28.0,SHE:002601
LBX Pharmacy Chain JSC,23.4,SHG:603883
LCI Industries,20.7,NYS:LCII
LCR Finance Plc,13.8,-
LDC SA,28.6,PAR:LOUP
LE Lundbergföretagen AB,14.3,OME:LUND.B
Leadec Holding BV & Co. KG,8.4,-
"Leader Harmonious Drive Systems Co., Ltd.",34.5,SHG:688017
"Leafly Holdings, Inc.",26.2,NAS:LFLY
"LeaLea Enterprise Co., Ltd.",21.3,TAI:1444
Lear Corp.,12.3,NYS:LEA
Learning Technologies Group Plc,22.0,LON:LTG
LeasePlan Corp NV,14.4,-
Leasys SpA,24.1,-
"LEC, Inc. (Japan)",22.4,TKS:7874
Lectra SA,19.4,PAR:LSS
Lee & Man Paper Manufacturing Ltd.,18.4,HKG:2314
Leeds Building Society,16.2,-
Leejam Sports Co. JSC,16.1,SAU:1830
"LEENO INDUSTRIAL, Inc.",17.9,KRX:058470
LEG Immobilien SE,6.7,ETR:LEG
Legacy Housing Corp.,22.7,NAS:LEGH
Legal & General Group Plc,17.0,LON:LGEN
"LegalZoom.com, Inc.",20.4,NAS:LZ
Legend Biotech Corp.,40.7,NAS:LEGN
Legend Holdings Corp.,25.4,HKG:3396
"Leggett & Platt, Inc.",14.3,NYS:LEG
"LegoChem Biosciences, Inc.",39.4,KRX:141080
Legrand SA,11.4,PAR:LR
"Leidos Holdings, Inc.",17.7,NYS:LDOS
LEM Holding SA,13.0,SWX:LEHN
"LeMaitre Vascular, Inc.",32.4,NAS:LMAT
Lemon Tree Hotels Ltd.,30.0,BOM:541233
"Lemonade, Inc.",32.5,NYS:LMND
LendingClub Corp.,24.6,NYS:LC
"LendingTree, Inc.",29.1,NAS:TREE
Lendlease Global Commercial REIT,14.2,SES:JYEU
Lendlease Group,20.8,ASX:LLC
Lennar Corp.,25.4,NYS:LEN
"Lennox International, Inc.",19.5,NYS:LII
Lenovo Group Ltd.,18.0,HKG:992
"Lens Technology Co., Ltd.",26.3,SHE:300433
Lenzing AG,19.2,WBO:LNZ
"Leo Group Co., Ltd.",32.8,SHE:002131
Leo Lithium Ltd.,53.0,ASX:LLL
Leon's Furniture Ltd.,18.5,TSE:LNF
Leonardo SpA,25.0,MIL:LDO
Leong Hup International Bhd.,48.5,KLS:6633
Leonteq AG,11.7,SWX:LEON
Leopalace21 Corp.,24.6,TKS:8848
"Lepu Medical Technology (Beijing) Co., Ltd.",36.5,SHE:300003
