company,pe_ratio,roe,roa
Supreme Inds.,54.34,20.95,26.79
Mahanagar Gas,10.57,20.44,26.79
Panch.Organics,16.66,20.52,26.73
Dr Reddy's Labs,19.14,21.64,26.73
KMC Speciality,49.87,26.72,26.67
Bhagwati Auto,28.19,25.17,26.66
Sealmatic India,40.70,20.08,26.61
Yatharth Hospit.,48.95,43.87,26.58
Petronet LNG,10.23,22.85,26.55
Hind. Unilever,58.96,20.47,26.55
Sr.Rayala.Hypo,7.30,21.55,26.44
Sungarner Energ.,69.99,30.96,26.40
Caplin Point Lab,25.63,25.59,26.32
Kewal Kir.Cloth.,32.92,21.82,26.21
Asarfi Hospital,23.65,24.88,26.21
Chamanlal Setia,10.26,23.12,26.18
Happy Forgings,45.87,23.50,26.17
Banco Products,16.38,23.87,25.83
KEI Industries,57.15,20.21,25.82
Roto Pumps,31.80,22.42,25.80
Suraj,14.40,20.46,25.76
Maithan Alloys,11.66,20.01,25.60
Hindustan Hardy,14.44,22.63,25.57
Shish Industries,65.68,22.52,25.57
Vadilal Inds.,13.12,28.44,25.56
H.G. Infra Engg.,10.24,29.36,25.36
Oil India,6.01,25.23,25.35
Brady & Morris,26.72,38.99,25.32
Cyber Media Res.,19.64,25.98,25.28
Unique Organics,17.98,26.80,25.26
Josts Engg. Co.,38.93,20.19,25.10
Trident Lifeline,30.77,23.84,25.10
AIA Engineering,27.96,20.05,25.07
Aurionpro Sol.,49.57,21.76,24.92
Redington,11.00,21.89,24.92
Elecon Engg.Co,35.65,20.50,24.90
Goyal Salt,85.33,25.39,24.79
Shriram Pistons,18.20,20.77,24.72
Shree Ganesh Rem,40.03,22.60,24.66
Vikram Thermo,23.05,20.72,24.61
K P R Mill Ltd,33.12,23.38,24.44
Elgi Equipments,42.26,23.77,24.43
Blue Star,60.81,23.41,24.42
Integra Engg.,42.54,34.39,24.39
Metro Brands,100.78,25.43,24.32
Garg Furnace,21.06,33.53,24.18
Dixon Technolog.,124.62,22.52,24.18
Rainbow Child.,57.76,25.52,24.10
D. P. Abhushan,29.32,28.40,23.98
eMudhra,54.11,22.42,23.96
HMA Agro Inds.,41.98,28.37,23.96
Creative Newtech,38.42,24.84,23.84
Berger Paints,67.56,20.44,23.75
Krishna Institu.,46.28,21.34,23.70
SBC Exports,54.73,22.19,23.69
Alufluoride,22.65,22.06,23.64
Tinna Rubber,37.87,24.39,23.57
Galaxy Surfact.,28.17,22.09,23.57
Agarwal Indl.,15.21,26.21,23.55
Gulf Oil Lubric.,13.17,20.92,23.48
Annapurna Swadi.,49.23,20.94,23.42
Shri Techtex,23.50,35.63,23.10
Campus Activewe.,85.96,23.81,23.01
Prerna Infra.,14.42,22.78,22.84
Loyal Equipments,29.01,30.57,22.77
Jash Engineering,33.13,24.30,22.54
Unihealth Consul,26.20,36.11,22.45
SRF,42.85,22.84,22.37
Transport Corp.,18.96,20.47,22.36
D.K. Enterprises,12.99,21.39,22.27
Bondada Engineer,48.10,26.08,22.27
Kreon Finnancial,19.10,37.65,22.22
Laurus Labs,64.27,20.43,22.15
Bombay Super Hyb,133.81,34.98,22.15
Pentagon Rubber,29.37,44.13,22.12
MANGALAM SEEDS,18.85,21.76,21.73
NELCO,82.31,20.52,21.59
Jupiter Life Lin,100.88,22.51,21.43
Tega Inds.,41.00,20.66,21.39
R C F,22.05,21.19,21.20
Maximus Interna.,42.24,23.96,21.00
GE Shipping Co,5.52,26.84,20.87
Universal Auto.,26.83,26.26,20.75
Adani Total Gas,214.78,20.39,20.74
Hind.Oil Explor.,8.95,24.13,20.37
Satia Industries,5.80,30.05,20.28
Pearl Global Ind,19.08,21.10,19.24
M K Proteins,89.89,23.68,19.14
Shukra Pharma.,15.21,21.18,18.84
Allcargo Logist.,31.61,20.10,18.49
Sportking India,12.80,20.18,18.32
Baba Food,21.58,22.22,17.89
Rushil Decor,21.68,23.88,16.91
JSW Infrast,60.70,20.41,16.71
Bharat Wire,25.89,50.49,16.25
GRM Overseas,24.12,23.38,15.69
R R Kabel,96.29,20.34,15.59
Cyient DLM,164.85,23.36,15.55
Tilaknagar Inds.,42.02,23.89,15.50
DCX Systems,39.23,20.92,13.12
W S Inds.,32.29,63.75,1.22
A K Spintex,9.50,27.25,
