GeoAreaCode,GeoAreaName,Goal 1,Goal 2,Goal 3,Goal 4,Goal 5,Goal 6,Goal 7,Goal 8,Goal 9,Goal 10,Goal 11,Goal 12,Goal 13,Goal 14,Goal 15,Goal 16,Goal 17
706,Somalia,28.57142857142857 %,46.25 %,56.53846153846154 %,10 %,4.166666666666666 %,57.70833333333334 %,100 %,37.5 %,35.9375 %,35.833333333333336 %,24.38271604938272 %,26.36363636363636 %,16.666666666666668 %,15.384615384615383 %,58.0952380952381 %,15.972222222222223 %,58.45679012345679 %
710,South Africa,34.76190476190476 %,70.83333333333334 %,76.92307692307693 %,39.095238095238095 %,20.833333333333336 %,78.54166666666667 %,100 %,77.08333333333334 %,79.6875 %,53.333333333333336 %,35.123456790123456 %,47.72727272727273 %,15.999999999999998 %,36.15384615384615 %,59.76190476190476 %,30.09259259259259 %,73.64197530864199 %
239,South Georgia and the South Sandwich Islands,0 %,0 %,0 %,0 %,0 %,6.25 %,0 %,0 %,0 %,10 %,0 %,0 %,0 %,11.538461538461538 %,26.805555555555554 %,0 %,0 %
728,South Sudan,7.142857142857142 %,43.75 %,48.07692307692308 %,15.666666666666668 %,4.166666666666666 %,52.29166666666667 %,80 %,37.5 %,39.58333333333333 %,33.333333333333336 %,5.555555555555555 %,32.72727272727273 %,0 %,0 %,45.714285714285715 %,14.814814814814817 %,33.641975308641975 %
724,Spain,33.452380952380956 %,48.95833333333333 %,75.64102564102562 %,67.67195767195767 %,33.33333333333333 %,56.785714285714285 %,60 %,83.33333333333334 %,83.92857142857143 %,61.838624338624335 %,17.77777777777778 %,47.04545454545455 %,6.999999999999999 %,66.15384615384615 %,59.76190476190476 %,26.414141414141408 %,52.222222222222214 %
144,Sri Lanka,42.02380952380952 %,66.25000000000001 %,72.8205128205128 %,39.904761904761905 %,6.944444444444445 %,66.04166666666667 %,100 %,62.5 %,82.8125 %,53.333333333333336 %,23.641975308641975 %,44.54545454545455 %,15.333333333333332 %,26.153846153846157 %,59.76190476190476 %,26.805555555555554 %,72.34567901234567 %
275,State of Palestine,32.5 %,33.33333333333333 %,25.256410256410263 %,64 %,26.38888888888889 %,56.25 %,90 %,56.25 %,53.125 %,33.333333333333336 %,32.9320987654321 %,33.40909090909091 %,14.000000000000002 %,5.384615384615384 %,56.42857142857143 %,24.537037037037038 %,65.7716049382716 %
729,Sudan,27.380952380952383 %,50 %,59.35897435897435 %,27.76190476190476 %,2.7777777777777777 %,53.541666666666664 %,100 %,33.33333333333333 %,48.4375 %,35.833333333333336 %,32.407407407407405 %,26.36363636363636 %,16.666666666666668 %,15.384615384615383 %,59.04761904761905 %,14.444444444444446 %,68.45679012345678 %
740,Suriname,16.666666666666668 %,50 %,67.05128205128203 %,32 %,18.055555555555554 %,65.52083333333333 %,100 %,34.375 %,64.0625 %,33.333333333333336 %,16.666666666666664 %,30 %,0 %,46.15384615384615 %,61.42857142857142 %,20.138888888888886 %,53.2716049382716 %
744,Svalbard and Jan Mayen Islands,0 %,0 %,0 %,0 %,0 %,5.714285714285714 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,10.769230769230768 %,33.33333333333333 %,0 %,0 %
752,Sweden,43.69047619047618 %,48.95833333333333 %,71.79487179487178 %,49.47089947089947 %,22.22222222222222 %,61.54761904761904 %,60 %,83.33333333333334 %,83.92857142857143 %,71.75925925925925 %,41.66666666666667 %,47.5 %,21.66666666666667 %,56.15384615384615 %,53.095238095238095 %,29.747474747474744 %,48.68055555555556 %
756,Switzerland,37.38095238095238 %,55.20833333333333 %,73.71794871794872 %,55.079365079365076 %,33.33333333333333 %,60.357142857142854 %,60 %,83.33333333333334 %,83.92857142857143 %,74.53703703703704 %,38.45679012345679 %,39.77272727272727 %,13.666666666666666 %,10.769230769230768 %,53.095238095238095 %,28.08080808080808 %,58.05555555555555 %
760,Syrian Arab Republic,16.666666666666668 %,33.75 %,49.48717948717948 %,36.333333333333336 %,4.166666666666666 %,47.083333333333336 %,100 %,29.166666666666668 %,60.9375 %,35.833333333333336 %,5.555555555555555 %,35.45454545454545 %,0 %,15.384615384615383 %,55.714285714285715 %,10.532407407407408 %,39.01234567901234 %
762,Tajikistan,41.07142857142856 %,47.5 %,62.56410256410256 %,32 %,4.166666666666666 %,63.74999999999999 %,100 %,45.83333333333333 %,65.625 %,43.33333333333333 %,35.64814814814815 %,25.454545454545453 %,16.666666666666668 %,12.5 %,45.714285714285715 %,18.10185185185185 %,63.641975308641975 %
764,Thailand,48.095238095238095 %,70.83333333333334 %,86.28205128205128 %,69.47619047619048 %,30.555555555555557 %,54.0625 %,100 %,72.91666666666666 %,76.5625 %,65.23809523809526 %,33.888888888888886 %,50.90909090909091 %,15.999999999999998 %,56.15384615384615 %,49.76190476190476 %,25.833333333333336 %,73.08641975308643 %
